Quote|Character|Nation|Bending|Episode|Book
You seem to be having a lot of nightmares lately. You want to tell me about it?|Katara|Water|Water|The Storm|Water
Food eats people! Also, Momo could talk. You said some very unkind things.|Sokka|Water|None|The Storm|Water
Finding the Avatar is far more important than any individual's safety.|Zuko|Fire|Fire|The Storm|Water
Swishing means it's ripe! It's the ripe juices swishing around, eh?|Merchant woman|Earth|None|The Storm|Water
I think it's true, Katara. Swishing means it's ripe|Aang|Air|All|The Storm|Water
Out of food and out of money. Now what are we supposed to do?|Sokka|Water|None|The Storm|Water
You could get a job, smart guy.|Katara|Water|Water|The Storm|Water
My joints say there's going to be a storm! A bad one.|Fisherman's wife|Earth|None|The Storm|Water
Well, it's your joints against my brain.|Fisherman|Earth|None|The Storm|Water
Then I hope your brain can find someone else to haul that fish, 'cause I ain't comin'.|Fisherman's wife|Earth|None|The Storm|Water
You don't care about anyone but yourself! Then again, what should I expect from a spoiled prince?|Jee|Fire|Fire|The Storm|Water
Enough! We're all a bit tired from being at sea so long. I'm sure after a bowl of noodles, everyone will feel much better.|Iroh|Fire|Fire|The Storm|Water
The boy with the tattoos has some sense. You should listen to him!|Fisherman's wife|Earth|None|The Storm|Water
Boy with tattoos? Airbender tattoos. Well, I'll be a hog monkey's uncle. You're the Avatar, ain't ya?|Fisherman|Earth|None|The Storm|Water
The Avatar disappeared for a hundred years! You turned your back on the world!|Fisherman|Earth|None|The Storm|Water
Don't yell at him! Aang would never turn his back on anyone.|Katara|Water|Water|The Storm|Water
Then I guess I must have imagined the last hundred years of war and suffering.|Fisherman|Earth|None|The Storm|Water
Aang is the bravest person I know. He's done nothing but help people and save lives since I met him.|Katara|Water|Water|The Storm|Water
I'll never forget the day the monks told me I was the Avatar. I was playing with some other kids just outside the South Wall. I was trying to teach them how to do the air scooter.|Aang|Air|All|The Storm|Water
You chose them from among thousands of toys, Aang. The toys you picked were the four Avatar relics. These items belonged to Avatars past. Your own past lives.|Tashi|Air|Air|The Storm|Water
I fear that war may be upon us, young Avatar.|Pasang|Air|Air|The Storm|Water
I'm sick of taking his orders! I'm tired of chasing his Avatar! I mean, who does Zuko think he is?|Jee|Fire|Fire|The Storm|Water
Try to understand. My nephew is a complicated young man. He has been through much.|Iroh|Fire|Fire|The Storm|Water
You can't sacrifice an entire division like that! Those soldiers love and defend our nation! How can you betray them?|Zuko|Fire|Fire|The Storm|Water
As long as I'm his guardian, I will decide when he trains ... and when he gets his butt kicked at Pai Sho.|Gyatso|Air|Air|The Storm|Water
Zuko had spoken out against the general's plan, but by doing so in the Fire Lord's war room, it was the Fire Lord whom he had disrespected. Zuko would have to duel his own father.|Iroh|Fire|Fire|The Storm|Water
Aang needs to have freedom and fun. He needs to grow up as a normal boy.|Gyatso|Air|Air|The Storm|Water
You and Aang must be separated! The Avatar will be sent away to the Eastern Air Temple to complete his training.|Pasang|Air|Air|The Storm|Water
How could they do that to me? They wanted to take away everything I knew and everyone I loved!|Aang|Air|All|The Storm|Water
Aang, I'm not going to let them take you away from me. Aang?|Gyatso|Air|Air|The Storm|Water
And then the Fire Nation attacked our temple. My people needed me and I wasn't there to help.|Aang|Air|All|The Storm|Water
The world needed me and I wasn't there to help.|Aang|Air|All|The Storm|Water
You're being too hard on yourself, even if you did run away. I think it was meant to be. If you had stayed, you would have been killed along with all the other airbenders.|Katara|Water|Water|The Storm|Water
I know it was meant to be this way. The world needs you now. You give people hope.|Katara|Water|Water|The Storm|Water
When Prince Zuko saw that it was his father who had come to duel him, he begged for mercy.|Iroh|Fire|Fire|The Storm|Water
Please, Father. I only had the Fire Nation's best interest at heart. I'm sorry I spoke out of turn!|Zuko|Fire|Fire|The Storm|Water
You will fight for your honor.|Ozai|Fire|Fire|The Storm|Water
I meant you no disrespect. I am your loyal son.|Zuko|Fire|Fire|The Storm|Water
You will learn respect, and suffering will be your teacher.|Ozai|Fire|Fire|The Storm|Water
It was no accident. After the duel, the Fire Lord said that by refusing to fight, Zuko had shown shameful weakness. As punishment, he was banished and sent to capture the Avatar. Only then could he return with his honor.|Iroh|Fire|Fire|The Storm|Water
Things will never return to normal. But the important thing is the Avatar gives Zuko hope.|Iroh|Fire|Fire|The Storm|Water
I'm too young to die!|Sokka|Water|None|The Storm|Water
I can't make guesses about what would have turned out if I hadn't run away. I'm here now and I'm going to make the most out of it.|Aang|Air|All|The Storm|Water
I'm not one to complain, but can't Appa fly any higher?|Sokka|Water|None|The Waterbending Master|Water
I have an idea! Why don't we all get on your back and you could fly us to the North Pole?!|Aang|Air|Air|The Waterbending Master|Water
I'd love to. Climb on everyone, Sokka's ready for take off.|Sokka|Water|None|The Waterbending Master|Water
Winter, spring ... Summer, and fall ... Winter, spring ... Summer, and fall ... Four seasons ... four loves ... Four seasons ... for love|Iroh|Fire|Fire|The Waterbending Master|Water
May the great Ocean and Moon Spirits watch over us during these troubled times!|Yue|Water|Water|The Waterbending Master|Water
You know, back in my tribe, I'm kind of like a prince, myself.|Sokka|Water|None|The Waterbending Master|Water
My apologies, Prince Sokka.|Katara|Water|Water|The Waterbending Master|Water
I'm thinking ... maybe we could ... do an activity, together?|Sokka|Water|None|The Waterbending Master|Water
For the last time, I'm not playing the tsungi horn!|Zuko|Fire|Fire|The Waterbending Master|Water
In our tribe, it is forbidden for women to learn waterbending.|Pakku|Water|Water|The Waterbending Master|Water
What do you mean you won't teach me? I didn't travel across the entire world so you could tell me no!|Katara|Water|Water|The Waterbending Master|Water
It's Princess Yue. I don't get it, one minute she wants to go out with me, and the next, she's telling me to get lost.|Sokka|Water|None|The Waterbending Master|Water
Master Poophead won't teach her because she's a girl.|Aang|Air|Air|The Waterbending Master|Water
No way am I apologizing to a sour old man like you!|Katara|Water|Water|The Waterbending Master|Water
I'll be outside if you're man enough to fight me.|Katara|Water|Water|The Waterbending Master|Water
But she didn't love you, did she? It was an arranged marriage. Gran-Gran wouldn't let your tribe's stupid customs run her life.|Katara|Water|Water|The Waterbending Master|Water
I just want you to know, I think you're beautiful, and, I never thought a girl like you would even notice a guy like me.|Sokka|Water|None|The Waterbending Master|Water
It's what Avatar Roku said. I'm supposed to master all four elements before that comet arrives.|Aang|Air|All|The Waterbending Scroll|Water
You pretty much mastered airbending and that only took you a hundred and twelve years. I'm sure you can master three more elements by next summer.|Sokka|Water|None|The Waterbending Scroll|Water
Calm down, it's going to be okay. If you want, I can try to teach you some of the stuff I know.|Katara|Water|Water|The Waterbending Scroll|Water
Maybe we can find a puddle for you to splash in.|Sokka|Water|None|The Waterbending Scroll|Water
You could ... clean the gunk out of Appa's toes.|Aang|Air|All|The Waterbending Scroll|Water
So, while you guys are playing in the water, I'm supposed to be hard at work picking mud out of a giant bison's feet?|Sokka|Water|None|The Waterbending Scroll|Water
Mud and bugs!|Aang|Air|All|The Waterbending Scroll|Water
For my Pai Sho game. Most people think the lotus tile insignificant, but it is essential for the unusual strategy that I employ.|Iroh|Fire|Fire|The Waterbending Scroll|Water
You've changed our course for a stupid lotus tile|Zuko|Fire|Fire|The Waterbending Scroll|Water
Just push and pull the water like this. The key is getting the wrist movement right.|Katara|Water|Water|The Waterbending Scroll|Water
Well, you had to figure it all on your own. I'm lucky enough to have a great teacher.|Aang|Air|All|The Waterbending Scroll|Water
My life was hard enough when you were just an airbender.|Sokka|Water|None|The Waterbending Scroll|Water
We've got exactly three copper pieces left from the money that King Bumi gave us. Let's spend it wisely.|Sokka|Water|None|The Waterbending Scroll|Water
No offense Aang, but I'll hold the money from now on.|Katara|Water|Water|The Waterbending Scroll|Water
Earth Nation! Fire Nation! Water Nation! So long as bargains are your inclination, you're welcome here! Don't be shy, come on by!|Oh|Earth|None|The Waterbending Scroll|Water
I've never seen such a fine specimen of lemur.|Pirate captain|Earth|None|The Waterbending Scroll|Water
We prefer to think of ourselves as 'high risk traders.'|Oh|Earth|None|The Waterbending Scroll|Water
Well, well. Look who's come to their senses. Told you the haggling would pay off.|Aang|Air|All|The Waterbending Scroll|Water
My cabbages! This place is worse than Omashu!|Cabbage merchant|Earth|None|The Waterbending Scroll|Water
I used to kind of look up to pirates, but those guys are terrible.|Aang|Air|All|The Waterbending Scroll|Water
Sokka, where do you think they got it? They stole it from a waterbender!|Katara|Water|Water|The Waterbending Scroll|Water
These are real waterbending forms. You know how crucial it is for Aang to learn waterbending!|Katara|Water|Water|The Waterbending Scroll|Water
I've checked all the shops on this pier. Not a lotus tile in the entire marketplace.|Iroh|Fire|Fire|The Waterbending Scroll|Water
Quite the contrary. I always say, the only thing better than finding something you are looking for is finding something you weren't looking for at a great bargain!|Iroh|Fire|Fire|The Waterbending Scroll|Water
For music night on the ship. Now, if we only had some woodwinds.|Iroh|Fire|Fire|The Waterbending Scroll|Water
Will you please shut your air hole? Believe it or not your infinite wisdom gets a little old sometimes!|Katara|Water|Water|The Waterbending Scroll|Water
What about Momo? He's the real victim here.|Sokka|Water|None|The Waterbending Scroll|Water
I'll save you from the pirates.|Zuko|Fire|Fire|The Waterbending Scroll|Water
I need to capture him to restore something I've lost, my honor.|Zuko|Fire|Fire|The Waterbending Scroll|Water
Oh, what? I'm not good enough to kidnap? Ah!|Sokka|Water|None|The Waterbending Scroll|Water
You're really gonna hand over the Avatar for a stupid piece of parchment?|Sokka|Water|None|The Waterbending Scroll|Water
Shut your mouth, you Water Tribe peasant!|Zuko|Fire|Fire|The Waterbending Scroll|Water
I'm just sayin' it's bad business sense. Think how much the Fire Lord would pay for the Avatar. You guys would be set for life.|Sokka|Water|None|The Waterbending Scroll|Water
Thanks, Momo. I owe you a bushel of apples.|Katara|Water|Water|The Waterbending Scroll|Water
Are you so busy fighting you cannot see your own ship has set sail?|Iroh|Fire|Fire|The Waterbending Scroll|Water
Could you two quit congratulating each other and help me out?|Sokka|Water|None|The Waterbending Scroll|Water
Have you lost your mind? This is no time for flute practice!|Sokka|Water|None|The Waterbending Scroll|Water
Prince Zuko, you're really going to get a kick out of this. That lotus tile was in my sleeve the whole time!|Iroh|Fire|Fire|The Waterbending Scroll|Water
Aang, I still owe you an apology. You were just so good at waterbending without really trying. I got so competitive that I put us all in danger, I'm sorry.|Katara|Water|Water|The Waterbending Scroll|Water
Stealing is wrong. Unless it's from pirates.|Katara|Water|Water|The Waterbending Scroll|Water
Sokka, you're supposed to put the tarp on top of the tent. You know, so we don't get rained on?|Katara|Water|Water|The Great Divide|Water
You're infuriating!|Katara|Water|Water|The Great Divide|Water
Katara, why don't you worry about gathering firewood, because that kindling is looking pretty sorry.|Sokka|Water|None|The Great Divide|Water
Why don't you ask Miss Know-It-All, Queen of the Twigs|Sokka|Water|None|The Great Divide|Water
Oh yeah? Well, you're Mister Lazy Bum, King of the Tents!|Katara|Water|Water|The Great Divide|Water
Harsh words won't solve problems, action will.|Aang|Air|All|The Great Divide|Water
You see that? Settling feuds and making peace, all in a day's work for the Avatar.|Aang|Air|All|The Great Divide|Water
You wouldn't be so calm if the Fire Nation destroyed your home and forced you to flee! My whole tribe has to walk thousands of miles to the capital city of Ba Sing Se.|Gan Jin tribesman|Earth|None|The Great Divide|Water
That's the Zhang tribe, a bunch of low-life thieves. They've been the enemies of my tribe for a hundred years.|Gan Jin tribesman|Earth|None|The Great Divide|Water
Sick people get priority over old people.|Zhang leader|Earth|None|The Great Divide|Water
Maybe you Zhangs wouldn't have so many sick people if you weren't such slobs.|Gan Jin leader|Earth|None|The Great Divide|Water
If you Gan Jins weren't so clean, you wouldn't live to be so old.|Zhang leader|Earth|None|The Great Divide|Water
Absolutely not! We'd rather be taken by the Fire Nation than travel with those stinking thieves!|Gan Jin leader|Earth|None|The Great Divide|Water
He's the Avatar, Sokka, making peace between people is his job.|Katara|Water|Water|The Great Divide|Water
Oh, you babies can go a day without food? Would you rather be hungry, or dead?|Canyon guide|Earth|Earth|The Great Divide|Water
He he he, guess the spirits are still angry! Hope you all brought sacrifices.|Canyon guide|Earth|Earth|The Great Divide|Water
No bendng ... we need to get out of this canyon ... I won't die down here! I won't become part of the food chain!|Canyon guide|Earth|Earth|The Great Divide|Water
Its okay Momo, we'll be out of here soon enough, and then we can eat our weight in leechi nuts!|Aang|Air|All|The Great Divide|Water
Maybe the Zhang can climb the wall with their long disgusting fingernails|Gan Jin leader|Earth|None|The Great Divide|Water
Oh sorry, I forgot that to the Gan Jin unclipped fingernails is a crime punishable by twenty years in jail!|Zhang leader|Earth|None|The Great Divide|Water
Oh no, that's a lot of canyon crawlers.|Katara|Water|Water|The Great Divide|Water
They're coming back for me! They've had a taste and they're coming back for me!|Canyon guide|Earth|Earth|The Great Divide|Water
I only took their side 'cause they fed me.|Sokka|Water|None|The Great Divide|Water
I never thought a Gan Jin could get his hands dirty like that.|Zhang leader|Earth|None|The Great Divide|Water
I never knew you Zhangs were so reliable in a pinch.|Gan Jin leader|Earth|None|The Great Divide|Water
Now where is that custard tart? I'm starving!|Aang|Air|All|The Great Divide|Water
See Prince Zuko, a moment of quiet is good for your mental well-being.|Iroh|Fire|Fire|Bato of the Water Tribe|Water
Being a man is knowing where you're needed the most.|Hakoda|Water|None|Bato of the Water Tribe|Water
Perfume? Maybe we can dump some on Appa, because he stinks so much.|Sokka|Water|None|Bato of the Water Tribe|Water
Yeah, nothing's cozier than dead animal skins.|Aang|Air|All|Bato of the Water Tribe|Water
Was it you or Dad that put an octopus on your head and convinced Gran-Gran you were a water spirit?|Sokka|Water|None|Bato of the Water Tribe|Water
Your dad wore the octopus, but I did the spooky voice.|Bato|Water|None|Bato of the Water Tribe|Water
He means no offense! I'm certain you bathe regularly!|Iroh|Fire|Fire|Bato of the Water Tribe|Water
Ice dodging is a ceremonial test of wisdom, bravery, and trust.|Bato|Water|None|Bato of the Water Tribe|Water
How are we supposed to ice dodge without ice?|Sokka|Water|None|Bato of the Water Tribe|Water
Of course we do, Aang. But, you're our family, too. And right now, you need us more.|Sokka|Water|None|Bato of the Water Tribe|Water
I wish I could give you a little piece of home, Katara. Something to remind you ...|Aang|Air|All|Bato of the Water Tribe|Water
What? You wanna walk into a Fire Nation town where they're all fired-up with their ... you know, fire?|Sokka|Water|None|The Deserter|Water
Knowing the Fire Nation, it's probably an execution.|Sokka|Water|None|The Deserter|Water
I serve a man. More than a man really, he's a myth, but he's real, a living legend, Jeong Jeong the Deserter.|Chey|Fire|None|The Deserter|Water
He's the first person ever to leave the army - and live. I'm the second, but you don't get to be a legend for that.|Chey|Fire|None|The Deserter|Water
If a fish lives its whole life in this river, does he know the river's destiny? No! Only that it runs on and on out of his control! He may follow where it flows, but he cannot see the end. He cannot imagine the ocean.|Jeong Jeong|Fire|Fire|The Deserter|Water
To master the bending disciplines, you must first master discipline itself. But you have no interest in this, so I have no interest in you! Now, get out.|Jeong Jeong|Fire|Fire|The Deserter|Water
Water is cool and soothing, earth is steady and stable, but fire, fire is alive! It breathes, it grows. Without the bender, a rock will not throw itself! But fire will spread and destroy everything in its path if one does not have the will to control it! That is its destiny!|Jeong Jeong|Fire|Fire|The Deserter|Water
Feel the heat of the sun. It is the greatest source of fire. Yet, it is in complete balance with nature!|Jeong Jeong|Fire|Fire|The Deserter|Water
Fire is a horrible burden to bear. Its nature is to consume and without control it destroys everything around it.|Jeong Jeong|Fire|Fire|The Deserter|Water
Learn restraint, or risk destroying yourself and everything you love.|Jeong Jeong|Fire|Fire|The Deserter|Water
Water brings healing and life. But fire brings only destruction and pain. It forces those of us burdened with its care to walk a razor's edge between humanity and savagery. Eventually, we are torn apart.|Jeong Jeong|Fire|Fire|The Deserter|Water
It is you who have embraced savagery, Zhao.|Jeong Jeong|Fire|Fire|The Deserter|Water
Oh, were we fighting? I thought you were just getting warmed up!|Aang|Air|All|The Deserter|Water
Is that all you got? Man, they'll make anyone an admiral these days!|Aang|Air|All|The Deserter|Water
Oh ... Well then thanks for all the first aid over the years. Like when I fell into the greaseberry bramble. Or that time I had two fishhooks in my thumb!|Sokka|Water|None|The Deserter|Water
Oh, and the time that mink snake bit me! Thanks for healing that up. That was great. Really helpful.|Sokka|Water|None|The Deserter|Water
The Earth Kingdom city of Omashu! I used to always come here to visit my friend Bumi.|Aang|Air|All|The King of Omashu|Water
They have buildings here that don't melt!|Sokka|Water|None|The King of Omashu|Water
So what am I supposed to do? Grow a mustache?|Aang|Air|All|The King of Omashu|Water
Technically, Aang is 112 years old.|Katara|Water|Water|The King of Omashu|Water
Now let's get to skippin', young whipper-snappers. The big city awaits!|Aang|Air|All|The King of Omashu|Water
No! My cabbages!|Cabbage merchant|Earth|None|The King of Omashu|Water
Name's Bonzu Pippinpaddleopsicopolis, the Third, and these are my grandkids.|Aang|Air|All|The King of Omashu|Water
This is the Omashu delivery system. Miles and miles of tubes and chutes.|Aang|Air|All|The King of Omashu|Water
My cabbages! You're gonna pay for this!|Cabbage merchant|Earth|All|The King of Omashu|Water
Two cabbages please.|Aang|Air|Air|The King of Omashu|Water
Off with their heads! One for each head of cabbage!|Cabbage merchant|Earth|All|The King of Omashu|Water
Throw them ... a feast!|Bumi|Earth|Earth|The King of Omashu|Water
The people in my city have gotten fat from too many feasts, so I hope you like your chicken with no skin.|Bumi|Earth|Earth|The King of Omashu|Water
I'm from ... Kangaroo Island!|Aang|Air|Air|The King of Omashu|Water
Oh, Kangaroo Island, eh? I hear that place is really hopping!|Bumi|Earth|Earth|The King of Omashu|Water
Uh, take them to the refurbished chamber that was once bad!|Bumi|Earth|Earth|The King of Omashu|Water
Appa's a ten-ton flying bison; I think he could figure something out.|Aang|Air|All|The King of Omashu|Water
The real challenges are much more, uh, challenging.|Bumi|Earth|Earth|The King of Omashu|Water
Those delightful rings are made of pure jennamite, also known as creeping crystal. It's a crystal that grows remarkably fast. By nightfall your friends will be completely covered in it. Terrible thing, really. I can stop it, but only if you cooperate.|Bumi|Earth|Earth|The King of Omashu|Water
It seems I've lost my lunch box key and I'm hungry. Ooh, there it is! Would you mind fetching it for me?|Bumi|Earth|Earth|The King of Omashu|Water
Other than the crystals slowly encasing my entire body, doing great!|Katara|Water|Water|The King of Omashu|Water
You thought I was a frail old man, but I'm the most powerful earthbender you'll ever see.|Bumi|Earth|Earth|The King of Omashu|Water
Typical airbender tactic: avoid and evade. I hoped the Avatar would be less predictable.|Bumi|Earth|Earth|The King of Omashu|Water
Did someone leave the windows open? It feels a little drafty in here. Are you hoping I'll catch a cold?|Bumi|Earth|Earth|The King of Omashu|Water
Bumi, you're a mad genius.|Aang|Air|All|The King of Omashu|Water
It's pretty fun messing with people.|Bumi|Earth|Earth|The King of Omashu|Water
The world has changed in the hundred years that you've been gone. It's the duty of the Avatar to restore balance to the world by defeating Fire Lord Ozai. You have much to learn.|Bumi|Earth|Earth|The King of Omashu|Water
Uh uh. No flying this time.|Sokka|Earth|None|Jet|Water
Think about it: Somehow Prince Zuko and the Fire Nation keep finding us. It's because they spot Appa, he's just too noticeable.|Sokka|Earth|None|Jet|Water
He's a gigantic fluffy monster with an arrow on his head! It's kinda hard to miss him!|Sokka|Earth|None|Jet|Water
Sokka's just jealous 'cause he doesn't have an arrow.|Aang|Air|All|Jet|Water
I'm not the boss, I'm the leader.|Sokka|Earth|None|Jet|Water
I'm the oldest, and I'm a warrior, so I'm the leader!|Sokka|Earth|None|Jet|Water
Why do boys always think someone has to be the leader? I bet you wouldn't be so bossy if you kissed a girl.|Katara|Water|Water|Jet|Water
I've kissed a girl, you just haven't met her.|Sokka|Earth|None|Jet|Water
Walking stinks! How do people go anywhere without a flying bison?|Sokka|Earth|None|Jet|Water
You know who you should ask to carry it for a while? Sokka's instincts.|Katara|Water|Water|Jet|Water
If you let us pass, we promise not to hurt you.|Sokka|Earth|None|Jet|Water
My name is Jet, and these are my Freedom Fighters, Sneers, Longshot, Smellerbee, The Duke, and Pipsqueak.|Jet|Earth|None|Jet|Water
Ha, ha, Pipsqueak, that's a funny name.|Aang|Air|All|Jet|Water
I guess you could say I've been causing them a little trouble.|Jet|Earth|None|Jet|Water
One day, we'll drive the Fire Nation out of here for good and free that town.|Jet|Earth|None|Jet|Water
The Fire Nation killed my parents. I was only eight years old. That day changed me forever.|Jet|Earth|None|Jet|Water
Sokka and I lost our mother to the Fire Nation.|Katara|Water|Water|Jet|Water
Have you forgotten that the Fire Nation killed your mother? Remember why you fight!|Jet|Earth|None|Jet|Water
How can you stand by and do nothing while Jet wipes out a whole town?|Sokka|Earth|None|Jet|Water
Katara, you would too if you just stopped to think. Think about what the Fire Nation did to your mother, we can't let them do that to anyone else, ever again.|Jet|Earth|None|Jet|Water
Why, Jet? I can't believe I trusted you. You lied to me, you're sick and I trusted you!|Katara|Water|Water|Jet|Water
No, Jet. You became the traitor when you stopped protecting innocent people.|Sokka|Earth|None|Jet|Water
Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then, everything changed when the Fire Nation attacked.|Katara|Water|Water|The Avatar Returns|Water
Only the Avatar, master of all four elements, could stop them, but when the world needed him most, he vanished.|Katara|Water|Water|The Avatar Returns|Water
Katara, you shouldn't have gone on that ship! Now we could all be in danger!|Kanna|Water|None|The Avatar Returns|Water
The foreigner(aang) is banished from our village.|Sokka|Water|None|The Avatar Returns|Water
Don't you see? Aang's brought us something we haven't had in a long time: fun.|Katara|Water|Water|The Avatar Returns|Water
Fun?! We can't fight firebenders with fun!|Sokka|Water|None|The Avatar Returns|Water
Fine! Then I'm banished, too! Come on Aang, let's go.|Katara|Water|Water|The Avatar Returns|Water
So, you're leaving the South Pole? This is goodbye?|Katara|Water|Water|The Avatar Returns|Water
Thanks for penguin sledding with me.|Aang|Air|All|The Avatar Returns|Water
Aang, don't go! I'll miss you!|Southern Water Tribe girl|Water|None|The Avatar Returns|Water
Wow, I haven't cleaned my room in a hundred years. Not looking forward to that.|Aang|Air|All|The Avatar Returns|Water
All right, ready our defenses! The Fire Nation could be on our shores any moment now!|Sokka|Water|None|The Avatar Returns|Water
No potty breaks!|Sokka|Water|None|The Avatar Returns|Water
Yeah, I liked her(katara) too.|Aang|Air|All|The Avatar Returns|Water
I've spent years preparing for this encounter. Training, meditating. You're just a child!|Zuko|Fire|Fire|The Avatar Returns|Water
Well, you're just a teenager.|Aang|Air|All|The Avatar Returns|Water
Head a course for the Fire Nation. I'm going home.|Zuko|Fire|Fire|The Avatar Returns|Water
We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him|Katara|Water|Water|The Avatar Returns|Water
It's been so long since I've had hope, but you brought it back to life, my little waterbender.|Kanna|Water|None|The Avatar Returns|Water
Aang is the Avatar. He's the world's only chance. You both found him for a reason. Now your destinies are intertwined with his.|Kanna|Water|None|The Avatar Returns|Water
Get in, we're going to save your boyfriend|Sokka|Water|None|The Avatar Returns|Water
You just looove taking me out of my comfort zone, don't you?|Sokka|Water|None|The Avatar Returns|Water
So, I guess you've never fought an airbender before. I bet I could take you both with my hands tied behind my back.|Aang|Air|All|The Avatar Returns|Water
Up. Ascend. Elevate.|Sokka|Water|None|The Avatar Returns|Water
Ha! That's from the Water Tribe!|Sokka|Water|None|The Avatar Returns|Water
Good news for the Fire Lord. The Fire Nation's greatest threat is just a little kid.|Iroh|Fire|Fire|The Avatar Returns|Water
According to legend, you need to first master water, then earth, then fire, right?|Katara|Water|Water|The Avatar Returns|Water
the world's been waiting for the Avatar to return and finally put an end to this war.|Katara|Water|Water|The Avatar Returns|Water
Sokka, I'm sure you'll get to knock some firebender heads on the way.|Katara|Water|Water|The Avatar Returns|Water
I'm just a guy, with a boomerang.|Sokka|Water|None|The Avatar Returns|Water
I laugh at gravity all the time.|Aang|Air|All|The Northern Air Temple|Water
Hey, we're almost at the Northern Air Temple. This is where they had the championships for Sky Bison polo.|Aang|Air|All|The Northern Air Temple|Water
We better find some solid ground, before it finds us.|Sokka|Water|None|The Northern Air Temple|Water
You just destroyed something sacred! For a stupid bathhouse!|Aang|Air|All|The Northern Air Temple|Water
Well, people around here are starting to stink.|Mechanist|Earth|None|The Northern Air Temple|Water
Unfortunately, progress has a way of getting away from us|Mechanist|Earth|None|The Northern Air Temple|Water
If you like that, wait till you see my finger-safe knife sharpener. Only took me three tries to get it right.|Mechanist|Earth|None|The Northern Air Temple|Water
It's filled to the brim with natural gas. Came across it my first time here. Unfortunately, I was carrying a torch at the time. Nearly blew my self and the whole place even more sky high! Thought my eyebrows would never grow back.|Mechanist|Earth|None|The Northern Air Temple|Water
Aaaaah! I can't believe I'm flying!|Katara|Water|Water|The Northern Air Temple|Water
Just make sure you keep your mouth closed so you don't swallow a bug!|Aang|Air|All|The Northern Air Temple|Water
a-ack-ack-bleck! Bug! Bug! Ack, that was a bug!|Katara|Water|Water|The Northern Air Temple|Water
You smell rotten eggs! Then, you just follow your nose to the place where the smell is coming from.|Mechanist|Earth|None|The Northern Air Temple|Water
We finally got the war balloon working, thanks to Sokka. This boy's a genius!|Mechanist|Earth|None|The Northern Air Temple|Water
Stink! Never underestimate the power of stink!|Mechanist|Earth|None|The Northern Air Temple|Water
Aang you were right about air power. As long as we've got the skies, we'll have the Fire Nation on the run.|Sokka|Water|None|The Northern Air Temple|Water
I still believe that, somehow, the Avatar will return to save the world.|Katara|Water|Water|The Boy in the Iceberg|Water
Mmmm ... I can already smell it cookin'.|Sokka|Water|None|The Boy in the Iceberg|Water
Why is it that every time you play with magic water, I get soaked?|Sokka|Water|None|The Boy in the Iceberg|Water
Look, I'm just saying that if I had weird powers, I'd keep my weirdness to myself.|Sokka|Water|None|The Boy in the Iceberg|Water
Leave it to a girl to screw things up!|Sokka|Water|None|The Boy in the Iceberg|Water
I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!|Katara|Water|Water|The Boy in the Iceberg|Water
Please, sit. Why don't you enjoy a cup of calming Jasmine tea?|Iroh|Fire|Fire|The Boy in the Iceberg|Water
I don't need any calming tea! I need to capture the Avatar!|Zuko|Fire|Fire|The Boy in the Iceberg|Water
Will you go penguin sledding with me?|Aang|Air|All|The Boy in the Iceberg|Water
Right, and this is Katara, my flying sister.|Sokka|Water|None|The Boy in the Iceberg|Water
You just sneezed ... and flew ten feet in the air!|Sokka|Water|None|The Boy in the Iceberg|Water
Giant light beams, flying bison, airbenders ... I think I got midnight sun madness. I'm going home to where stuff makes sense.|Sokka|Water|None|The Boy in the Iceberg|Water
Oh no! I'm not getting on that fluffy snot monster!|Sokka|Water|None|The Boy in the Iceberg|Water
Appa, yip-yip!|Aang|Air|All|The Boy in the Iceberg|Water
Their honor didn't hinge on the Avatar's capture. Mine does.|Zuko|Fire|Fire|The Boy in the Iceberg|Water
It's not for stabbing! It's for airbending.|Aang|Air|All|The Boy in the Iceberg|Water
Ya know, last time I checked, humans can't fly!|Sokka|Water|None|The Boy in the Iceberg|Water
Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long.|Sokka|Water|None|The Boy in the Iceberg|Water
Power in firebending comes from the breath, not the muscles. The breath becomes energy in the body. The energy extends past your limbs and becomes: fire!|Iroh|Fire|Fire|The Boy in the Iceberg|Water
No, you are impatient.|Iroh|Fire|Fire|The Boy in the Iceberg|Water
but first, I must finish my roast duck.|Iroh|Fire|Fire|The Boy in the Iceberg|Water
