Quote|Character|Nation|Bending|Episode|Book
I still believe that, somehow, the Avatar will return to save the world.|Katara|Water|Water|The Boy in the Iceberg|Water
Mmmm ... I can already smell it cookin'.|Sokka|Water|None|The Boy in the Iceberg|Water
Why is it that every time you play with magic water, I get soaked?|Sokka|Water|None|The Boy in the Iceberg|Water
Look, I'm just saying that if I had weird powers, I'd keep my weirdness to myself.|Sokka|Water|None|The Boy in the Iceberg|Water
Leave it to a girl to screw things up!|Sokka|Water|None|The Boy in the Iceberg|Water
I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!|Katara|Water|Water|The Boy in the Iceberg|Water
Please, sit. Why don't you enjoy a cup of calming Jasmine tea?|Iroh|Fire|Fire|The Boy in the Iceberg|Water
I don't need any calming tea! I need to capture the Avatar!|Zuko|Fire|Fire|The Boy in the Iceberg|Water
Will you go penguin sledding with me?|Aang|Air|All|The Boy in the Iceberg|Water
Right, and this is Katara, my flying sister.|Sokka|Water|None|The Boy in the Iceberg|Water
You just sneezed ... and flew ten feet in the air!|Sokka|Water|None|The Boy in the Iceberg|Water
Giant light beams, flying bison, airbenders ... I think I got midnight sun madness. I'm going home to where stuff makes sense.|Sokka|Water|None|The Boy in the Iceberg|Water
Oh no! I'm not getting on that fluffy snot monster!|Sokka|Water|None|The Boy in the Iceberg|Water
Appa, yip-yip!|Aang|Air|All|The Boy in the Iceberg|Water
Their honor didn't hinge on the Avatar's capture. Mine does.|Zuko|Fire|Fire|The Boy in the Iceberg|Water
It's not for stabbing! It's for airbending.|Aang|Air|All|The Boy in the Iceberg|Water
Ya know, last time I checked, humans can't fly!|Sokka|Water|None|The Boy in the Iceberg|Water
Great. You're an airbender, Katara's a waterbender. Together you can just waste time all day long.|Sokka|Water|None|The Boy in the Iceberg|Water
Power in firebending comes from the breath, not the muscles. The breath becomes energy in the body. The energy extends past your limbs and becomes: fire!|Iroh|Fire|Fire|The Boy in the Iceberg|Water
No, you are impatient.|Iroh|Fire|Fire|The Boy in the Iceberg|Water
but first, I must finish my roast duck.|Iroh|Fire|Fire|The Boy in the Iceberg|Water
Listen! Until your fathers return from the War, they're counting on you to be the men of this tribe, and that means no potty breaks!|Sokka|Water|None|The Boy in the Iceberg|Water
Aang, I'll help you catch a penguin if you teach me waterbending.|Katara|Water|Water|The Boy in the Iceberg|Water
If you want to be a bender, you have to let go of fear.|Aang|Air|All|The Boy in the Iceberg|Water
The last airbender! Quite agile for his old age.|Zuko|Fire|Fire|The Boy in the Iceberg|Water
