Quote|Character|Nation|Bending|Episode|Book
Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then, everything changed when the Fire Nation attacked.|Katara|Water|Water|The Avatar Returns|Water
Only the Avatar, master of all four elements, could stop them, but when the world needed him most, he vanished.|Katara|Water|Water|The Avatar Returns|Water
Katara, you shouldn't have gone on that ship! Now we could all be in danger!|Kanna|Water|None|The Avatar Returns|Water
The foreigner(aang) is banished from our village.|Sokka|Water|None|The Avatar Returns|Water
Don't you see? Aang's brought us something we haven't had in a long time: fun.|Katara|Water|Water|The Avatar Returns|Water
Fun?! We can't fight firebenders with fun!|Sokka|Water|None|The Avatar Returns|Water
Fine! Then I'm banished, too! Come on Aang, let's go.|Katara|Water|Water|The Avatar Returns|Water
So, you're leaving the South Pole? This is goodbye?|Katara|Water|Water|The Avatar Returns|Water
Thanks for penguin sledding with me.|Aang|Air|All|The Avatar Returns|Water
Aang, don't go! I'll miss you!|Southern Water Tribe girl|Water|None|The Avatar Returns|Water
Wow, I haven't cleaned my room in a hundred years. Not looking forward to that.|Aang|Air|All|The Avatar Returns|Water
All right, ready our defenses! The Fire Nation could be on our shores any moment now!|Sokka|Water|None|The Avatar Returns|Water
No potty breaks!|Sokka|Water|None|The Avatar Returns|Water
Yeah, I liked her(katara) too.|Aang|Air|All|The Avatar Returns|Water
I've spent years preparing for this encounter. Training, meditating. You're just a child!|Zuko|Fire|Fire|The Avatar Returns|Water
Well, you're just a teenager.|Aang|Air|All|The Avatar Returns|Water
Head a course for the Fire Nation. I'm going home.|Zuko|Fire|Fire|The Avatar Returns|Water
We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him|Katara|Water|Water|The Avatar Returns|Water
It's been so long since I've had hope, but you brought it back to life, my little waterbender.|Kanna|Water|None|The Avatar Returns|Water
Aang is the Avatar. He's the world's only chance. You both found him for a reason. Now your destinies are intertwined with his.|Kanna|Water|None|The Avatar Returns|Water
Get in, we're going to save your boyfriend|Sokka|Water|None|The Avatar Returns|Water
You just looove taking me out of my comfort zone, don't you?|Sokka|Water|None|The Avatar Returns|Water
So, I guess you've never fought an airbender before. I bet I could take you both with my hands tied behind my back.|Aang|Air|All|The Avatar Returns|Water
Up. Ascend. Elevate.|Sokka|Water|None|The Avatar Returns|Water
Ha! That's from the Water Tribe!|Sokka|Water|None|The Avatar Returns|Water
Good news for the Fire Lord. The Fire Nation's greatest threat is just a little kid.|Iroh|Fire|Fire|The Avatar Returns|Water
According to legend, you need to first master water, then earth, then fire, right?|Katara|Water|Water|The Avatar Returns|Water
the world's been waiting for the Avatar to return and finally put an end to this war.|Katara|Water|Water|The Avatar Returns|Water
Sokka, I'm sure you'll get to knock some firebender heads on the way.|Katara|Water|Water|The Avatar Returns|Water
I'm just a guy, with a boomerang.|Sokka|Water|None|The Avatar Returns|Water
