Quote|Character|Nation|Bending|Episode|Book
Wait 'til you see it, Katara! The Southern Air Temple is one of the most beautiful places in the world!|Aang|Air|All|The Southern Air Temple|Water
Uggh! Sleep now. Temple later.|Sokka|Water|None|The Southern Air Temple|Water
Sokka! Wake up! There's a prickle snake in your sleeping bag!|Aang|Air|All|The Southern Air Temple|Water
Do you have any ginseng tea? It's my favorite.|Iroh|Fire|Fire|The Southern Air Temple|Water
Hey, stomach? Be quiet, all right? I'm trying to find us some food.|Sokka|Water|None|The Southern Air Temple|Water
We're home, buddy! We're home|Aang|Air|All|The Southern Air Temple|Water
If my father thinks the rest of the world will follow him willingly, then he is a fool!|Zuko|Fire|Fire|The Southern Air Temple|Water
I'm just a simple guy, with simple needs.|Sokka|Water|None|The Southern Air Temple|Water
Your aim has improved greatly, my young pupil.|Gyatso|Air|Air|The Southern Air Temple|Water
The key, Sokka, is airbending.|Aang|Air|All|The Southern Air Temple|Water
Statues? That's it? Where's the meat?|Sokka|Water|None|The Southern Air Temple|Water
You just couldn't get any weirder.|Sokka|Water|None|The Southern Air Temple|Water
I want to eat you!|Sokka|Water|None|The Southern Air Temple|Water
Once I deliver the Avatar to my father, he will welcome me home with honor, and restore my rightful place on the throne!|Zuko|Fire|Fire|The Southern Air Temple|Water
If your father really wanted you home, he would have let you return by now, Avatar or no Avatar. But in his eyes you are a failure and a disgrace to the Fire Nation.|Zhao|Fire|Fire|The Southern Air Temple|Water
An Agni Kai. At sunset.|Zuko|Fire|Fire|The Southern Air Temple|Water
Aang, I wasn't really going to eat the lemur, okay?|Sokka|Water|None|The Southern Air Temple|Water
Next time you get in my way, I promise, I won't hold back.|Zuko|Fire|Fire|The Southern Air Temple|Water
Even in exile, my nephew is more honorable than you.|Iroh|Fire|Fire|The Southern Air Temple|Water
Monk Gyatso and the other airbenders may be gone, but you still have a family. Sokka and I! We're your family now!|Katara|Water|Water|The Southern Air Temple|Water
I really am the last airbender.|Aang|Air|All|The Southern Air Temple|Water
