Quote|Character|Nation|Bending|Episode|Book
He is clearly a master of evasive maneuvering.|Zuko|Fire|Fire|The Warriors of Kyoshi|Water
You have no idea where you're going, do you?|Sokka|Water|None|The Warriors of Kyoshi|Water
Simple. Girls are better at fixing pants than guys and guys are better at hunting and fighting and stuff like that. It's just the natural order of things.|Sokka|Water|None|The Warriors of Kyoshi|Water
Where we're going, you won't need any pants.|Aang|Air|All|The Warriors of Kyoshi|Water
Elephant koi, and I'm gonna ride it.|Aang|Air|All|The Warriors of Kyoshi|Water
Wait a second, there's no way that a bunch of girls took us down.|Sokka|Water|None|The Warriors of Kyoshi|Water
A bunch of girls, huh? The Unagi's gonna eat well tonight.|Suki|Earth|None|The Warriors of Kyoshi|Water
No, don't hurt him! He didn't mean it. My brother is just an idiot sometimes.|Katara|Water|Water|The Warriors of Kyoshi|Water
He's just upset because a bunch of girls kicked his butt yesterday.|Katara|Water|Water|The Warriors of Kyoshi|Water
I'm not scared of any girls.|Sokka|Water|None|The Warriors of Kyoshi|Water
Come on, you know me better than that. I'm just a simple monk.|Aang|Air|All|The Warriors of Kyoshi|Water
I can't believe I got beat up by a bunch of girls.|Sokka|Water|None|The Warriors of Kyoshi|Water
Sorry ladies, didn't mean to interrupt your dance lesson.|Sokka|Water|None|The Warriors of Kyoshi|Water
I mean, normally I'd hold a grudge, but seeing as you guys are a bunch of girls, I'll make an exception.|Sokka|Water|None|The Warriors of Kyoshi|Water
A big strong man like you? We wouldn't stand a chance.|Suki|Earth|None|The Warriors of Kyoshi|Water
Watching you show off for a bunch of girls does not sound like fun|Katara|Water|Water|The Warriors of Kyoshi|Water
The silk threads symbolize the brave blood that flows through our veins. The gold insignia represents the honor of the warrior's heart.|Suki|Earth|None|The Warriors of Kyoshi|Water
It's not about strength. Our technique is about using your opponents' force against them|Suki|Earth|None|The Warriors of Kyoshi|Water
Nice try, Avatar! But these little girls can't save you.|Zuko|Fire|Fire|The Warriors of Kyoshi|Water
I am a warrior. But I'm a girl, too.|Suki|Earth|None|The Warriors of Kyoshi|Water
I know it's hard, but you did the right thing. Zuko would have destroyed the whole place if we had stayed.|Katara|Water|Water|The Warriors of Kyoshi|Water
