Quote|Character|Nation|Bending|Episode|Book
It's what Avatar Roku said. I'm supposed to master all four elements before that comet arrives.|Aang|Air|All|The Waterbending Scroll|Water
You pretty much mastered airbending and that only took you a hundred and twelve years. I'm sure you can master three more elements by next summer.|Sokka|Water|None|The Waterbending Scroll|Water
Calm down, it's going to be okay. If you want, I can try to teach you some of the stuff I know.|Katara|Water|Water|The Waterbending Scroll|Water
Maybe we can find a puddle for you to splash in.|Sokka|Water|None|The Waterbending Scroll|Water
You could ... clean the gunk out of Appa's toes.|Aang|Air|All|The Waterbending Scroll|Water
So, while you guys are playing in the water, I'm supposed to be hard at work picking mud out of a giant bison's feet?|Sokka|Water|None|The Waterbending Scroll|Water
Mud and bugs!|Aang|Air|All|The Waterbending Scroll|Water
For my Pai Sho game. Most people think the lotus tile insignificant, but it is essential for the unusual strategy that I employ.|Iroh|Fire|Fire|The Waterbending Scroll|Water
You've changed our course for a stupid lotus tile|Zuko|Fire|Fire|The Waterbending Scroll|Water
Just push and pull the water like this. The key is getting the wrist movement right.|Katara|Water|Water|The Waterbending Scroll|Water
Well, you had to figure it all on your own. I'm lucky enough to have a great teacher.|Aang|Air|All|The Waterbending Scroll|Water
My life was hard enough when you were just an airbender.|Sokka|Water|None|The Waterbending Scroll|Water
We've got exactly three copper pieces left from the money that King Bumi gave us. Let's spend it wisely.|Sokka|Water|None|The Waterbending Scroll|Water
No offense Aang, but I'll hold the money from now on.|Katara|Water|Water|The Waterbending Scroll|Water
Earth Nation! Fire Nation! Water Nation! So long as bargains are your inclination, you're welcome here! Don't be shy, come on by!|Oh|Earth|None|The Waterbending Scroll|Water
I've never seen such a fine specimen of lemur.|Pirate captain|Earth|None|The Waterbending Scroll|Water
We prefer to think of ourselves as 'high risk traders.'|Oh|Earth|None|The Waterbending Scroll|Water
Well, well. Look who's come to their senses. Told you the haggling would pay off.|Aang|Air|All|The Waterbending Scroll|Water
My cabbages! This place is worse than Omashu!|Cabbage merchant|Earth|None|The Waterbending Scroll|Water
I used to kind of look up to pirates, but those guys are terrible.|Aang|Air|All|The Waterbending Scroll|Water
Sokka, where do you think they got it? They stole it from a waterbender!|Katara|Water|Water|The Waterbending Scroll|Water
These are real waterbending forms. You know how crucial it is for Aang to learn waterbending!|Katara|Water|Water|The Waterbending Scroll|Water
I've checked all the shops on this pier. Not a lotus tile in the entire marketplace.|Iroh|Fire|Fire|The Waterbending Scroll|Water
Quite the contrary. I always say, the only thing better than finding something you are looking for is finding something you weren't looking for at a great bargain!|Iroh|Fire|Fire|The Waterbending Scroll|Water
For music night on the ship. Now, if we only had some woodwinds.|Iroh|Fire|Fire|The Waterbending Scroll|Water
Will you please shut your air hole? Believe it or not your infinite wisdom gets a little old sometimes!|Katara|Water|Water|The Waterbending Scroll|Water
What about Momo? He's the real victim here.|Sokka|Water|None|The Waterbending Scroll|Water
I'll save you from the pirates.|Zuko|Fire|Fire|The Waterbending Scroll|Water
I need to capture him to restore something I've lost, my honor.|Zuko|Fire|Fire|The Waterbending Scroll|Water
Oh, what? I'm not good enough to kidnap? Ah!|Sokka|Water|None|The Waterbending Scroll|Water
You're really gonna hand over the Avatar for a stupid piece of parchment?|Sokka|Water|None|The Waterbending Scroll|Water
Shut your mouth, you Water Tribe peasant!|Zuko|Fire|Fire|The Waterbending Scroll|Water
I'm just sayin' it's bad business sense. Think how much the Fire Lord would pay for the Avatar. You guys would be set for life.|Sokka|Water|None|The Waterbending Scroll|Water
Thanks, Momo. I owe you a bushel of apples.|Katara|Water|Water|The Waterbending Scroll|Water
Are you so busy fighting you cannot see your own ship has set sail?|Iroh|Fire|Fire|The Waterbending Scroll|Water
Could you two quit congratulating each other and help me out?|Sokka|Water|None|The Waterbending Scroll|Water
Have you lost your mind? This is no time for flute practice!|Sokka|Water|None|The Waterbending Scroll|Water
Prince Zuko, you're really going to get a kick out of this. That lotus tile was in my sleeve the whole time!|Iroh|Fire|Fire|The Waterbending Scroll|Water
Aang, I still owe you an apology. You were just so good at waterbending without really trying. I got so competitive that I put us all in danger, I'm sorry.|Katara|Water|Water|The Waterbending Scroll|Water
Stealing is wrong. Unless it's from pirates.|Katara|Water|Water|The Waterbending Scroll|Water
