Quote|Character|Nation|Bending|Episode|Book
Colonel Shinu, please reconsider ... Their precision is legendary. The Yuyan can pin a fly to a tree from one hundred yards away ... without killing it.|Zhao|Fire|Fire|The Blue Spirit|Water
It appears I've been promoted to Admiral. My request ... is now an order.|Zhao|Fire|Fire|The Blue Spirit|Water
You know what I love about Appa the most? His sense of humor.|Sokka|Water|None|The Blue Spirit|Water
That's how Sokka started yesterday. Now look at him! He thinks he's an earthbender!|Aang|Air|All|The Blue Spirit|Water
Listen carefully, Momo. I need you to take this to the river, and fill it with water.|Katara|Water|Water|The Blue Spirit|Water
So this is the great Avatar. Master of all the elements. I don't know how you've managed to elude the Fire Nation for a hundred years, but your little game of hide and seek is over.|Zhao|Fire|Fire|The Blue Spirit|Water
I've never hidden from you! Untie me and I'll fight you right now|Aang|Air|All|The Blue Spirit|Water
Tell me, how does it feel to be the only airbender left? Do you miss your people? Don't worry, you won't be killed like they were.|Zhao|Fire|Fire|The Blue Spirit|Water
See, if you die you will just be reborn and the Fire Nation would have to start searching all over again. So I'll keep you alive, but just barely.|Zhao|Fire|Fire|The Blue Spirit|Water
This is the year Sozin's Comet returns to grant us its power! This is the year the Fire Nation breaks through the walls of Ba Sing Se and burns the city to the ground!|Zhao|Fire|Fire|The Blue Spirit|Water
What? No! Don't leave, frogs! My friends are sick and they need you! Please go back to being frozen!|Aang|Air|All|The Blue Spirit|Water
My frogs! Come back! And stop thawing out!|Aang|Air|All|The Blue Spirit|Water
Wait! My friends need to suck on those frogs!|Aang|Air|All|The Blue Spirit|Water
Who's this 'Aang' kid you keep talking about, Your Highness?|Sokka|Water|None|The Blue Spirit|Water
Hold your fire! The Avatar must be captured alive!|Zhao|Fire|Fire|The Blue Spirit|Water
If we knew each other back then, do you think we could have been friends, too?|Aang|Air|All|The Blue Spirit|Water
