Quote|Character|Nation|Bending|Episode|Book
Great, Aang. Maybe instead of saving the world, you can go into the jewelry-making business.|Sokka|Water|None|The Fortuneteller|Water
You mean, all of you or just your neck? I mean, because they both look great!|Aang|Air|All|The Fortuneteller|Water
Smoochie, smoochie, someone's in love!|Sokka|Water|None|The Fortuneteller|Water
Stop teasing him, Sokka. Aang's just a good friend. A sweet, little guy! Just like Momo|Katara|Water|Water|The Fortuneteller|Water
Someone's being attacked by a platypus bear!|Aang|Air|All|The Fortuneteller|Water
Maybe we should go see Aunt Wu and learn our fortunes. It could be fun.|Katara|Water|Water|The Fortuneteller|Water
Oh, come on. Fortune telling is nonsense!|Sokka|Water|None|The Fortuneteller|Water
You can't really tell the future!|Sokka|Water|None|The Fortuneteller|Water
That rhymes with Meng! And you've got some pretty big ears, don't you?|Meng|Earth|None|The Fortuneteller|Water
Don't be modest! They're huge!|Sokka|Water|None|The Fortuneteller|Water
Try to keep an open mind, Sokka. There are things in this world that just can't be explained. Wouldn't it be nice to have some insight into your future?|Katara|Water|Water|The Fortuneteller|Water
It would be nice to have some bean curd puffs.|Sokka|Water|None|The Fortuneteller|Water
That's so romantic! I wonder if my true love will give me a rare flower.|Meng|Earth|None|The Fortuneteller|Water
Boring stuff I'm sure. Love, who she's going to marry, how many babies she's going to have.|Sokka|Water|None|The Fortuneteller|Water
Your palms are so smooth. Do you use moisturizer?|Wu|Earth|None|The Fortuneteller|Water
I feel a great romance for you. The man you are going to marry.|Wu|Earth|None|The Fortuneteller|Water
Your future is full of struggle and anguish. Most of it, self-inflicted|Wu|Earth|None|The Fortuneteller|Water
You will be involved in a great battle, an awesome conflict between the forces of good and evil. A battle whose outcome will determine the fate of the whole world!|Wu|Earth|None|The Fortuneteller|Water
You're just saying that because you're going to make yourself unhappy your whole life.|Katara|Water|Water|The Fortuneteller|Water
That woman is crazy! My life will calm and happy and joyful!|Sokka|Water|None|The Fortuneteller|Water
Since I got you here, uh, there's something I want to tell you. I like you, but more than normal.|Aang|Air|All|The Fortuneteller|Water
And then you will have your third great-grandchild before quietly passing away in your sleep.|Wu|Earth|None|The Fortuneteller|Water
I don't care what Aunt Wu told you! You have to take a bath sometime!|Sokka|Water|None|The Fortuneteller|Water
The number once mistake nice guys like you make: being too nice.|Sokka|Water|None|The Fortuneteller|Water
Flowers are fine once you're married, but at this early stage, it's critical that you maintain maximum aloofness.|Sokka|Water|None|The Fortuneteller|Water
But my heart is telling me to get this flower, and Aunt Wu said if I trusted in my heart, I will be with the one I love.|Aang|Air|All|The Fortuneteller|Water
That Water Tribe girl. I can see why you like her so much.|Meng|Earth|None|The Fortuneteller|Water
Just as you reshaped those clouds, you have the power to shape your own destiny.|Wu|Earth|None|The Fortuneteller|Water
