Quote|Character|Nation|Bending|Episode|Book
What? You wanna walk into a Fire Nation town where they're all fired-up with their ... you know, fire?|Sokka|Water|None|The Deserter|Water
Knowing the Fire Nation, it's probably an execution.|Sokka|Water|None|The Deserter|Water
I serve a man. More than a man really, he's a myth, but he's real, a living legend, Jeong Jeong the Deserter.|Chey|Fire|None|The Deserter|Water
He's the first person ever to leave the army - and live. I'm the second, but you don't get to be a legend for that.|Chey|Fire|None|The Deserter|Water
If a fish lives its whole life in this river, does he know the river's destiny? No! Only that it runs on and on out of his control! He may follow where it flows, but he cannot see the end. He cannot imagine the ocean.|Jeong Jeong|Fire|Fire|The Deserter|Water
To master the bending disciplines, you must first master discipline itself. But you have no interest in this, so I have no interest in you! Now, get out.|Jeong Jeong|Fire|Fire|The Deserter|Water
Water is cool and soothing, earth is steady and stable, but fire, fire is alive! It breathes, it grows. Without the bender, a rock will not throw itself! But fire will spread and destroy everything in its path if one does not have the will to control it! That is its destiny!|Jeong Jeong|Fire|Fire|The Deserter|Water
Feel the heat of the sun. It is the greatest source of fire. Yet, it is in complete balance with nature!|Jeong Jeong|Fire|Fire|The Deserter|Water
Fire is a horrible burden to bear. Its nature is to consume and without control it destroys everything around it.|Jeong Jeong|Fire|Fire|The Deserter|Water
Learn restraint, or risk destroying yourself and everything you love.|Jeong Jeong|Fire|Fire|The Deserter|Water
Water brings healing and life. But fire brings only destruction and pain. It forces those of us burdened with its care to walk a razor's edge between humanity and savagery. Eventually, we are torn apart.|Jeong Jeong|Fire|Fire|The Deserter|Water
It is you who have embraced savagery, Zhao.|Jeong Jeong|Fire|Fire|The Deserter|Water
Oh, were we fighting? I thought you were just getting warmed up!|Aang|Air|All|The Deserter|Water
Is that all you got? Man, they'll make anyone an admiral these days!|Aang|Air|All|The Deserter|Water
Oh ... Well then thanks for all the first aid over the years. Like when I fell into the greaseberry bramble. Or that time I had two fishhooks in my thumb!|Sokka|Water|None|The Deserter|Water
Oh, and the time that mink snake bit me! Thanks for healing that up. That was great. Really helpful.|Sokka|Water|None|The Deserter|Water
