Quote|Character|Nation|Bending|Episode|Book
A couple of more years and you might be ready to fight a sea sponge.|Pakku|Water|Water|The Siege of the North, Part 1|Water
Katara, you've advanced more quickly than any student I've ever trained. You have proven that with fierce determination, passion and hard work, you can accomplish anything.|Pakku|Water|Water|The Siege of the North, Part 1|Water
I grew up in a block of ice. It's not exactly a cultural hub.|Sokka|Water|None|The Siege of the North, Part 1|Water
Just think, centuries from now, people will study the great Admiral Zhao, who destroyed the last of the Water Tribe civilization.|Zhao|Fire|Fire|The Siege of the North, Part 1|Water
History is not always kind to its subjects.|Iroh|Fire|Fire|The Siege of the North, Part 1|Water
I wish we could just be friends, but I like you too much and it's too confusing to be around you. I'm marrying someone else!|Yue|Water|Water|The Siege of the North, Part 1|Water
As we approach the battle for our existence, I call upon the great spirits. Spirit of the Ocean! Spirit of the Moon! Be with us!|Arnook|Water|None|The Siege of the North, Part 1|Water
The stillness before battle is unbearable. Such a quiet dread.|Arnook|Water|None|The Siege of the North, Part 1|Water
I wasn't there when the Fire Nation attacked my people. I'm going to make a difference this time.|Aang|Air|All|The Siege of the North, Part 1|Water
I must have taken out a dozen Fire Navy ships, but there's just too many of them. I can't fight them all.|Aang|Air|All|The Siege of the North, Part 1|Water
I'm just one kid.|Aang|Air|All|The Siege of the North, Part 1|Water
If you're fishing for an octopus my nephew, you need a tightly woven net, or he will squeeze through the tiniest hole and escape.|Iroh|Fire|Fire|The Siege of the North, Part 1|Water
I'm sorry. I just nag you, because ... well, ever since I lost my son ... I think of you as my own.|Iroh|Fire|Fire|The Siege of the North, Part 1|Water
Princess Yue is wasted on a self-absorbed weasel like you!|Sokka|Water|None|The Siege of the North, Part 1|Water
The legends say the moon was the first waterbender. Our ancestors saw how it pushed and pulled the tides and learned how to do it themselves.|Yue|Water|Water|The Siege of the North, Part 1|Water
Our strength comes from the spirit of the moon. Our life comes from the spirit of the ocean. They work together to keep balance.|Yue|Water|Water|The Siege of the North, Part 1|Water
The Avatar is the bridge between our world and the Spirit World! Aang can talk to them!|Katara|Water|Water|The Siege of the North, Part 1|Water
Oh, no. Hahn's out there on the top-secret mission while I'm here sharpening my boomerang. Everything's fine.|Sokka|Water|None|The Siege of the North, Part 1|Water
No, he's my friend. I'm perfectly capable of protecting him.|Katara|Water|Water|The Siege of the North, Part 1|Water
You rise with the moon ... I rise with the sun.|Zhao|Fire|Fire|The Siege of the North, Part 1|Water
