Quote|Character|Nation|Bending|Episode|Book
I was in the Avatar State, but I was outside my body watching myself. It was scary. I was scary.|Aang|Air|All|The Avatar State|Earth
Who knew floating on a piece of driftwood for three weeks with no food or water, and sea vultures waiting to pluck out your liver could make one so tense?|Iroh|Fire|Fire|The Avatar State|Earth
I want the Avatar, I want my honor, my throne. I want my father not to think I'm worthless.|Zuko|Fire|Fire|The Avatar State|Earth
You might have mixed feelings about attacking members of the Royal Family. I understand. But I assure you, if you hesitate, I will not hesitate to bring you down.|Azula|Fire|Fire|The Avatar State|Earth
Do the tides command this ship?|Azula|Fire|Fire|The Avatar State|Earth
Well then, maybe you should worry less about the tides who have already made up their mind about killing you, and worry more about me, who's still mulling it over.|Azula|Fire|Fire|The Avatar State|Earth
With the kind of power he possesses, power enough to destroy hundreds of battle ships in a matter of minutes, he could defeat the Fire Lord now!|Fong|Earth|Earth|The Avatar State|Earth
I don't know how to get in or out of the Avatar State, much less what to do once I'm there.|Aang|Air|All|The Avatar State|Earth
Or just glow it up and stop that Fire Lord!|Sokka|Water|None|The Avatar State|Earth
If you two meat heads want to throw away everything we've worked for, fine, go ahead and glow it up!|Katara|Water|Water|The Avatar State|Earth
Look at these magnificent shells! I'll enjoy these keepsakes for years to come.|Iroh|Fire|Fire|The Avatar State|Earth
In my country, we exchange a pleasant hello before asking questions. Have you become uncivilized so soon, Zuzu?|Azula|Fire|Fire|The Avatar State|Earth
Father regrets your banishment. He wants you home.|Azula|Fire|Fire|The Avatar State|Earth
I'm not saying the Avatar State doesn't have incredible and helpful power ... but you have to understand ... for the people who love you, watching you be in that much rage and pain is really scary.|Katara|Water|Water|The Avatar State|Earth
Every day, more and more people die. I'm already one hundred years late. Defeating the Fire Lord is the only way to stop this war.|Aang|Air|All|The Avatar State|Earth
I have never known my brother to regret anything.|Iroh|Fire|Fire|The Avatar State|Earth
Did you listen to Azula? Father's realized how important family is to him! He cares about me!|Zuko|Fire|Fire|The Avatar State|Earth
I care about you! And if Ozai wants you back, well, I think it may not be for the reasons you imagine.|Iroh|Fire|Fire|The Avatar State|Earth
Zuko, I only meant that in our family, things are not always what they seem.|Iroh|Fire|Fire|The Avatar State|Earth
I think you are exactly what you seem! A lazy, mistrustful, shallow old man who's always been jealous of his brother!|Zuko|Fire|Fire|The Avatar State|Earth
Family sticks together, right?|Iroh|Fire|Fire|The Avatar State|Earth
Father blames Uncle for the loss of the North Pole. And he considers you a miserable failure for not finding the Avatar! Why would he want you back home, except to lock you up where you can no longer embarrass him?|Azula|Fire|Fire|The Avatar State|Earth
The Avatar State is a defense mechanism, designed to empower you with the skills and knowledge of all the past Avatars.|Roku|Fire|All|The Avatar State|Earth
The glow is the combination of all your past lives, focusing their energy through your body.|Roku|Fire|All|The Avatar State|Earth
In the Avatar State, you are at your most powerful, but you are also at your most vulnerable.|Roku|Fire|All|The Avatar State|Earth
If you are killed in the Avatar State, the reincarnation cycle will be broken and the Avatar will cease to exist.|Roku|Fire|All|The Avatar State|Earth
