Quote|Character|Nation|Bending|Episode|Book
I can't believe it. I know the War has spread far, but Omashu always seemed ... untouchable.|Aang|Air|All|Return to Omashu|Earth
A secret passage? Why didn't we just use this last time?|Sokka|Water|None|Return to Omashu|Earth
Uh, he has pentapox, sir. Umm, it's highly contagious.|Katara|Water|Water|Return to Omashu|Earth
Oh, it's so awful. I'm dying|Sokka|Water|None|Return to Omashu|Earth
Thank you, sewer friends.|Aang|Air|All|Return to Omashu|Earth
The Royal Procession is dead weight. If I want to catch my prey, I must be agile, nimble. I need a small, elite team. It's time to visit some old friends.|Azula|Fire|Fire|Return to Omashu|Earth
There really is no fathoming the depths of my hatred for this place.|Mai|Fire|None|Return to Omashu|Earth
I thought my life was boring in the Fire Nation, but this place is unbearably bleak. Nothing ever happens.|Mai|Fire|None|Return to Omashu|Earth
Certainly our parents didn't send us to the Royal Fire Academy for Girls to end up in ... places like this.|Azula|Fire|Fire|Return to Omashu|Earth
But the truth is, I'm really happy here. I mean, my aura has never been pinker!|Ty Lee|Fire|None|Return to Omashu|Earth
I'll take your word for it. Well, I wouldn't want you to give up the life you love just to please me.|Azula|Fire|Fire|Return to Omashu|Earth
The day of the invasion, we readied ourselves for battle. We were prepared to defend our city ... to fight for our lives and for our freedom. But before we even had a chance, King Bumi surrendered.|Yung|Earth|Earth|Return to Omashu|Earth
You don't understand. They've taken our home, and we have to fight them at any cost!|Yung|Earth|Earth|Return to Omashu|Earth
You're all about to come down with a nasty case of pentapox.|Sokka|Water|None|Return to Omashu|Earth
Okay everyone! Into sick formation.|Sokka|Water|None|Return to Omashu|Earth
Come on, Flopsie. You gotta help me find Bumi. Yip Yip! Oh ... I guess that doesn't work with you. Let's go!|Aang|Air|All|Return to Omashu|Earth
The universe has given me strong hints that it's time for a career change. I want to join you on your mission.|Ty Lee|Fire|None|Return to Omashu|Earth
No! Bad Fire Nation baby!|Sokka|Water|None|Return to Omashu|Earth
Please tell me you're here to kill me.|Mai|Fire|None|Return to Omashu|Earth
We're trading a two year old for a king. A powerful, earthbending king?|Azula|Fire|Fire|Return to Omashu|Earth
There are options in fighting, called jing. It's a choice of how you direct your energy.|Bumi|Earth|Earth|Return to Omashu|Earth
Well, technically there are eighty-five, but let's just focus on the third. Neutral jing is the key to earthbending. It involves listening and waiting for the right moment to strike.|Bumi|Earth|Earth|Return to Omashu|Earth
Your teacher will be someone who has mastered neutral jing. You need to find someone who waits and listens before striking|Bumi|Earth|Earth|Return to Omashu|Earth
