Quote|Character|Nation|Bending|Episode|Book
Maybe a chicken flew over.|Zuko|Fire|Fire|Zuko Alone|Earth
I'll take you to my house and feed your ostrich horse for you. Come on, I owe you!|Lee|Earth|Earth|Zuko Alone|Earth
Anyone who can hold his own against those bully soldiers is welcome here. Those men should be ashamed to wear Earth Kingdom uniforms.|Gansu|Earth|Earth|Zuko Alone|Earth
That's what moms are like. If you mess with their babies, they're gonna bite you back!|Ursa|Fire|None|Zuko Alone|Earth
I am not cart-wheeling.|Zuko|Fire|Fire|Zuko Alone|Earth
We are brother and sister. It's important for us to spend time together! Don't you think so, Mom?|Azula|Fire|Fire|Zuko Alone|Earth
Girls are crazy!|Zuko|Fire|Fire|Zuko Alone|Earth
I still think our dad would make a much better Fire Lord than His Royal Tea-Loving Kookiness.|Azula|Fire|Fire|Zuko Alone|Earth
Keep in mind, these are dual swords. Two halves of a single weapon. Don't think of them as separate, 'cause they're not. They're just two different parts of the same whole.|Zuko|Fire|Fire|Zuko Alone|Earth
You waste all your time playing with knives. You're not even good!|Azula|Fire|Fire|Zuko Alone|Earth
No, it means Uncle's a quitter and a loser.|Azula|Fire|Fire|Zuko Alone|Earth
He found out his son died and he just fell apart! A real general would stay and burn Ba Sing Se to the ground, not lose the battle and come home crying.|Azula|Fire|Fire|Zuko Alone|Earth
Fire Lord Azulon ... can't you just call him 'Grandfather'? He's not exactly the powerful Fire Lord he used to be. Someone will probably end up taking his place soon.|Azula|Fire|Fire|Zuko Alone|Earth
That's who you are, Zuko. Someone who keeps fighting even though it's hard.|Ursa|Fire|None|Zuko Alone|Earth
I'm only telling you for your own good. I know! Maybe you could find a nice Earth Kingdom family to adopt you!|Azula|Fire|Fire|Zuko Alone|Earth
Azula always lies.|Zuko|Fire|Fire|Zuko Alone|Earth
It doesn't matter who I am. But I know who you are. You're not soldiers; you're bullies. Freeloaders, abusing your power. Mostly over women and kids. You don't want Lee in your army – you're sick cowards messing with a family who's already lost one son to the war.|Zuko|Fire|Fire|Zuko Alone|Earth
Remember this, Zuko. No matter how things may seem to change, never forget who you are|Ursa|Fire|None|Zuko Alone|Earth
My name is Zuko. Son of Ursa and Fire Lord Ozai. Prince of the Fire Nation, and heir to the throne.|Zuko|Fire|Fire|Zuko Alone|Earth
