Quote|Character|Nation|Bending|Episode|Book
That's not gross, it's just a part of spring! You know, rebirth, flowers blooming and Appa gets a new coat.|Aang|Air|All|The Chase|Earth
I'm just glad we finally have another girl in the group, because you two are disgusting.|Katara|Water|Water|The Chase|Earth
Excuse me, does anyone have a razor? Because I've got some hairy pits!|Toph|Earth|Earth|The Chase|Earth
Katara, I'm fine. I can carry my own weight. I don't need a fire, I've already collected my own food and look,  my tent's all set up.|Toph|Earth|Earth|The Chase|Earth
Your powers of perception are frightening.|Sokka|Water|None|The Chase|Earth
Really? You need me to help unload Sokka's funky-smelling sleeping bag?|Toph|Earth|Earth|The Chase|Earth
Look here, sugar queen, I gave up everything I had so that I could teach Aang earthbending. So don't you talk to me about being selfish!|Toph|Earth|Earth|The Chase|Earth
Okay, forget about setting up camp. I'm finding the softest pile of dirt and going to sleep.|Sokka|Water|None|The Chase|Earth
Oh, just some angry freak with a ponytail who's tracked us all over the world.|Sokka|Water|None|The Chase|Earth
What's wrong with ponytails, Ponytail?|Katara|Water|Water|The Chase|Earth
Well, it certainly tells the other warriors that you're fun and perky.|Katara|Water|Water|The Chase|Earth
Maybe we should face them. Find out who they are. Who knows, maybe they're friendly.|Aang|Air|All|The Chase|Earth
Okay, three on three plus Sokka.|Toph|Earth|Earth|The Chase|Earth
Well, we wanted to find out who they were and we found out. Now let's get out of here.|Sokka|Water|None|The Chase|Earth
The crazy blue firebending and the flying daggers are bad enough, but last time we saw them, one of those girls did something that took my bending away. That's scary.|Katara|Water|Water|The Chase|Earth
Hey, I never asked you for diddly-doo-dah.|Toph|Earth|Earth|The Chase|Earth
Ow ... That really hurt my tailbone.|Iroh|Fire|Fire|The Chase|Earth
Hmmm ... they're not wads, they're more like bundles, or bunches? It's got an 'uh' sound.|Ty Lee|Fire|None|The Chase|Earth
Thanks Appa, I don't know what we'd do without you.|Sokka|Water|None|The Chase|Earth
Was it just me, or was that guy kind of cute?|Ty Lee|Fire|None|The Chase|Earth
You mean you haven't guessed? You don't see the family resemblance? Here's a hint. I must find the Avatar to restore my honor! It's okay, you can laugh. It's funny.|Azula|Fire|Fire|The Chase|Earth
I poured your tea because I wanted to and for no other reason.|Iroh|Fire|Fire|The Chase|Earth
People see me and think I'm weak. They want to take care of me, but I can take care of myself, by myself.|Toph|Earth|Earth|The Chase|Earth
There is nothing wrong with letting the people who love you help you.|Iroh|Fire|Fire|The Chase|Earth
Not that I love you, I just met you.|Iroh|Fire|Fire|The Chase|Earth
I know he doesn't want me around him right now, but if he needs me, I'll be there.|Iroh|Fire|Fire|The Chase|Earth
Sharing tea with a fascinating stranger is one of life's true delights.|Iroh|Fire|Fire|The Chase|Earth
Oh, and about your nephew, maybe you should tell him that you need him, too.|Toph|Earth|Earth|The Chase|Earth
I was wondering when you'd show up, Zuzu.|Azula|Fire|Fire|The Chase|Earth
Well, look at this. Enemies and traitors, all working together. I'm done. I know when I'm beaten. You got me. A princess surrenders with honor.|Azula|Fire|Fire|The Chase|Earth
