Quote|Character|Nation|Bending|Episode|Book
I practice hard every day with Toph and Katara. I've been training my arrow off!|Aang|Air|All|The Library|Earth
Should we just head west until we reach the Fire Lord's house? Knock, knock. Hello, Fire Lord? Anybody home? I don't think so.|Sokka|Water|None|The Library|Earth
I don't see anything wrong with having one of those fruity beverages while we plan our strategy.|Sokka|Water|None|The Library|Earth
Now tell me- what was the primary agricultural product of your people?|Zei|Earth|None|The Library|Earth
You spent years walking through the desert to find some guy's library?|Toph|Earth|Earth|The Library|Earth
Wan Shi Tong and his knowledge seekers collected books from all over the world, and put them on display for mankind to read, so that we might better ourselves.|Zei|Earth|None|The Library|Earth
I'd like to spend my vacation at the library!|Sokka|Water|None|The Library|Earth
You gotta work here a little longer before you qualify for vacation time.|Sokka|Water|None|The Library|Earth
I've made several trips into the Si Wong Desert and almost died each time.|Zei|Earth|None|The Library|Earth
Tell me, sky bison, are you the last of your breed? Delightful! I only wish I spoke his tongue. Oh, the stories this beast could tell.|Zei|Earth|None|The Library|Earth
There it is! That's what it will sound like when one of you spots it.|Toph|Earth|Earth|The Library|Earth
I've held books before. And I gotta tell you, they don't exactly do it for me.|Toph|Earth|Earth|The Library|Earth
You should leave the way you came. Unless you want to become a stuffed head of anthropology.|Wan Shi Tong|None|None|The Library|Earth
I am Wan Shi Tong, 'He Who Knows Ten Thousand Things.' And you are obviously humans, which, by the way, are no longer permitted in my study.|Wan Shi Tong|None|None|The Library|Earth
Humans only bother learning things to get the edge on other humans. Like that firebender who came to this place a few years ago, looking to destroy his enemy. So ... who are you trying to destroy?|Wan Shi Tong|None|None|The Library|Earth
If you're going to lie to an all-knowing spirit being, you should at least put some effort into it.|Wan Shi Tong|None|None|The Library|Earth
You're not very bright, are you?|Wan Shi Tong|None|None|The Library|Earth
So ... you like ... flying?|Toph|Earth|Earth|The Library|Earth
Aang, did you know in a past life, you were left-handed?|Katara|Water|Water|The Library|Earth
That's so unfair! Just when I think I'm one step ahead of the Fire Nation, it turns out they beat us here a long time ago.|Sokka|Water|None|The Library|Earth
Shh, Katara, not in front of the fox, he's with the owl|Sokka|Water|None|The Library|Earth
Mortals are so predictable, and such terrible liars. You betrayed my trust. From the beginning, you intended to misuse this knowledge for evil purposes.|Wan Shi Tong|None|None|The Library|Earth
You don't understand. If anyone's evil, it's the Fire Nation. You saw what they did to your library. They're destructive and dangerous.|Sokka|Water|None|The Library|Earth
You think you're the first person to believe their war was justified? Countless others before you have come here seeking weapons or weaknesses or battle strategies.|Wan Shi Tong|None|None|The Library|Earth
Great Knowledge Spirit, I beg you, do not destroy your vast collection of priceless tomes.|Zei|Earth|None|The Library|Earth
Your waterbending won't do you much good here. I've studied Northern water style, Southern water style, even Foggy Swamp style|Wan Shi Tong|None|None|The Library|Earth
I'm not leaving. I can't. I've spent too long trying to find this place. There's not another collection of knowledge like this on earth. I could spend an eternity in here.|Zei|Earth|None|The Library|Earth
