Quote|Character|Nation|Bending|Episode|Book
You just didn't care! You never liked Appa! You wanted him gone!|Aang|Air|All|The Desert|Earth
That's all any of you guys care about, yourselves! You don't care whether Appa is okay or not!|Aang|Air|All|The Desert|Earth
Would you like some tea first? I'd love some. How about you, Kahchi? I make you as a jasmine man. Am I right?|Iroh|Fire|Fire|The Desert|Earth
Hmmm ... Old friends that don't want to attack me ...|Iroh|Fire|Fire|The Desert|Earth
If I sweat anymore, I don't think sticking together will be a problem.|Sokka|Water|None|The Desert|Earth
We're drinking your bending water. You used this on the swamp guy! Urch!|Sokka|Water|None|The Desert|Earth
Sokka, wait! You shouldn't be eating strange plants!|Katara|Water|Water|The Desert|Earth
Suit yourself. It's very thirst quenching though.|Sokka|Water|None|The Desert|Earth
Drink cactus juice. It'll quench ya! Nothing's quenchier. It's the quenchiest!|Sokka|Water|None|The Desert|Earth
Who lit Toph on fire?|Sokka|Water|None|The Desert|Earth
Can I get some of that cactus?|Toph|Earth|Earth|The Desert|Earth
How did we get out here in the middle of the ocean?|Sokka|Water|None|The Desert|Earth
It's a giant mushroom! Maybe it's friendly!|Sokka|Water|None|The Desert|Earth
Friendly mushroom! Mushy giant friend!|Sokka|Water|None|The Desert|Earth
As far as I can feel, we're trapped in a giant bowl of sand pudding. I got nothin'.|Toph|Earth|Earth|The Desert|Earth
Why don't we ask the circle birds?|Sokka|Water|None|The Desert|Earth
Ugh ... We're getting out of this desert, and we're going to do it together! Aang, get up. Everybody, hold hands. We can do this. We have to.|Katara|Water|Water|The Desert|Earth
Momo, no! You've killed us all!|Sokka|Water|None|The Desert|Earth
What?! I didn't steal anything! Who told you that? It was you! You ratted me out!|Sokka|Water|None|The Desert|Earth
What are you old gasbags talking about?|Zuko|Fire|Fire|The Desert|Earth
I always tried to tell you that Pai Sho is more than just a game.|Iroh|Fire|Fire|The Desert|Earth
Yesterday my mouth tasted like mud. Now it just tastes like sand. I never thought I'd miss the taste of mud so much.|Toph|Earth|Earth|The Desert|Earth
Appa? But why would Princess Yue need him? She's the moon! She flies by herself!|Sokka|Water|None|The Desert|Earth
Ow! Crud! I am so sick of not feeling where I'm going! And what idiot buried a boat in the middle of the desert?|Toph|Earth|Earth|The Desert|Earth
Now that you played Pai Sho, are you going to do some flower arranging, or is someone in this club going to offer some real help?|Zuko|Fire|Fire|The Desert|Earth
One who has eaten the fruit and tasted its mysteries.|Iroh|Fire|Fire|The Desert|Earth
Take it easy little lady. I'm sure the sand folks who built this baby know how to get around here|Sokka|Water|None|The Desert|Earth
I think my head is starting to clear out the cactus juice.|Sokka|Water|None|The Desert|Earth
You've been hallucinating on cactus juice all day and then you just lick something you find stuck to the wall of a cave?!|Katara|Water|Water|The Desert|Earth
We can hide in plain sight there. And it's the safest place in the world from the Fire Nation. Even I couldn't break through to the city.|Iroh|Fire|Fire|The Desert|Earth
You muzzled Appa?|Aang|Air|All|The Desert|Earth
