Quote|Character|Nation|Bending|Episode|Book
But just to be on the safe side ... Mai and Ty Lee, take the earthbenders out!|Azula|Fire|Fire|The Drill|Earth
I assure you the Fire Nation cannot penetrate this wall. Many have tried to break through it, but none have succeeded.|General Sung|Earth|Earth|The Drill|Earth
Nevertheless, that is why the city is named Ba Sing Se. It's the 'impenetrable city'. They don't call it Na Sing Se. That means 'penetrable city.'|General Sung|Earth|Earth|The Drill|Earth
So I'm the only one who can ever come up with a plan? That's a lot of pressure.|Sokka|Water|None|The Drill|Earth
But may I just say you're like a flower in bloom. Your beauty is intoxicating.|Iroh|Fire|Fire|The Drill|Earth
You're pretty easy on the eyes yourself, handsome. Raorr! Welcome to Ba Sing Se|Ticket lady|Earth|None|The Drill|Earth
Ty Lee. She doesn't look dangerous, but she knows the human body and its weak points. It's like she takes you down from the inside.|Katara|Water|Water|The Drill|Earth
Hey, look at that dust cloud. It's so ... poofy. Poof.|Ty Lee|Fire|None|The Drill|Earth
It's so dark down here, I can't see a thing!|Sokka|Water|None|The Drill|Earth
No way am I going in that metal monster. I can't bend in there. I'll try to slow it down out here.|Toph|Earth|Earth|The Drill|Earth
Blaugh! Ugh, coldest tea in Ba Sing Se is more like it! What a disgrace!|Iroh|Fire|Fire|The Drill|Earth
I know you're not supposed to cry over spilled tea, but ... it's just so sad!|Iroh|Fire|Fire|The Drill|Earth
What's this 'we' stuff? Aang and I are going to have to do all the work.|Katara|Water|Water|The Drill|Earth
Look, I'm the plan guy. You two are the cut stuff up with waterbending guys. Together, we're Team Avatar!|Sokka|Water|None|The Drill|Earth
She can shoot all the lightning she wants at me. I am not going in that wall sludge juice.|Mai|Fire|None|The Drill|Earth
Why don't you try blocking my chi now, circus freak?|Katara|Water|Water|The Drill|Earth
Soldiers, whatever you do, don't stop shooting rocks down there!|General Sung|Earth|Earth|The Drill|Earth
You know, I'm just about sick and tired of you telling me what to do all day! You're like a chattering hog-monkey!|Katara|Water|Water|The Drill|Earth
What I'd give to be a metalbender.|Aang|Air|All|The Drill|Earth
Enough with the Team Avatar stuff. No matter how many times you say it, it's not going to catch on.|Katara|Water|Water|The Drill|Earth
How about ... the Boomeraang Squad! See it's good because it's got 'Aang' in it. Boomeraang.|Sokka|Water|None|The Drill|Earth
The Aang Gang?|Sokka|Water|None|The Drill|Earth
The Fearsome Foursome?|Sokka|Water|None|The Drill|Earth
