Quote|Character|Nation|Bending|Episode|Book
You're not gonna wash up? You've got a little dirt on your ... everywhere, actually.|Katara|Water|Water|The Tales of Ba Sing Se|Earth
You call it dirt, I call it a healthy coating of earth!|Toph|Earth|Earth|The Tales of Ba Sing Se|Earth
The Fancy Lady Day Spa? Sounds like my kinda place.|Toph|Earth|Earth|The Tales of Ba Sing Se|Earth
Well, that wasn't so bad. I'm not usually into that stuff but I actually feel ... girly.|Toph|Earth|Earth|The Tales of Ba Sing Se|Earth
One of the good things about being blind, is I don't have to waste my time worrying about appearance. I don't care what I look like. I'm not looking for anyone's approval. I know who I am.|Toph|Earth|Earth|The Tales of Ba Sing Se|Earth
You're so strong, and confident, and self-assured. And I know it doesn't matter, but ... You're really pretty.|Katara|Water|Water|The Tales of Ba Sing Se|Earth
I'd return the compliment, but I've no idea how you look like. Thank you, Katara.|Toph|Earth|Earth|The Tales of Ba Sing Se|Earth
Leaves from the vine, falling so slow. Like fragile, tiny shells, drifting in the foam. Little soldier boy, come marching home. Brave soldier boy, comes marching home.|Iroh|Fire|Fire|The Tales of Ba Sing Se|Earth
It is usually best to admit mistakes when they occur, and seek to restore honor.|Iroh|Fire|Fire|The Tales of Ba Sing Se|Earth
With a poor stance, you are unbalanced, and you can be easily knocked over.|Iroh|Fire|Fire|The Tales of Ba Sing Se|Earth
With a solid stance, you are a much more serious threat.|Iroh|Fire|Fire|The Tales of Ba Sing Se|Earth
While it is always best to believe in oneself, a little help from others can be a great blessing.|Iroh|Fire|Fire|The Tales of Ba Sing Se|Earth
Oh, that's a rabaroo. I wish I could get her a big open prairie like she likes.  I'd let her hop away to happiness.|Kenji|Earth|None|The Tales of Ba Sing Se|Earth
My cabba- Oh, forget it.|Cabbage merchant|Earth|None|The Tales of Ba Sing Se|Earth
Excellent job, Avatar. You should think about working with animals for a living.|Kenji|Earth|None|The Tales of Ba Sing Se|Earth
I am so sorry. Something struck me in the rear. I just ... wound up ... here.|Sokka|Water|None|The Tales of Ba Sing Se|Earth
Five, seven, then five, syllables mark a haiku. Remarkable oaf.|Macmu-Ling|Earth|None|The Tales of Ba Sing Se|Earth
They call me Sokka, that is in the Water Tribe. I am not an oaf.|Sokka|Water|None|The Tales of Ba Sing Se|Earth
Tittering monkey, in the spring he climbs treetops, and thinks himself tall.|Macmu-Ling|Earth|None|The Tales of Ba Sing Se|Earth
You think you're so smart, with your fancy little words, this is not so hard.|Sokka|Water|None|The Tales of Ba Sing Se|Earth
Whole seasons are spent, mastering the form, the style, none calls it easy.|Macmu-Ling|Earth|None|The Tales of Ba Sing Se|Earth
I calls it easy. Like I paddle my canoe, I'll paddle yours too!|Sokka|Water|None|The Tales of Ba Sing Se|Earth
There's nuts and there's fruits. In fall the clinging plum drops, always to be squashed.|Macmu-Ling|Earth|None|The Tales of Ba Sing Se|Earth
Squish, squash, sling that slang. I'm always right back at ya, like my ... boomerang!|Sokka|Water|None|The Tales of Ba Sing Se|Earth
That's right, I'm Sokka, it's pronounced with an 'okka', young ladies, I rocked ya!|Sokka|Water|None|The Tales of Ba Sing Se|Earth
You're right, Zuko. I've seen that girl in here quite a lot. Seems to me she has quite a little crush on you.|Iroh|Fire|Fire|The Tales of Ba Sing Se|Earth
It took my uncle ten minutes to do my hair.|Zuko|Fire|Fire|The Tales of Ba Sing Se|Earth
You have ... quite an appetite for a girl.|Zuko|Fire|Fire|The Tales of Ba Sing Se|Earth
I've brought you something. It's a coupon for a free cup of tea.|Zuko|Fire|Fire|The Tales of Ba Sing Se|Earth
