Quote|Character|Nation|Bending|Episode|Book
One good hour after weeks of trouble isn't much of a roll.|Katara|Water|Water|The Earth King|Earth
I've seen enough of Ba Sing Se. And I can't even see!|Toph|Earth|Earth|The Earth King|Earth
I don't trust the new positive Sokka. Long Feng brainwashed you, didn't he!?|Toph|Earth|Earth|The Earth King|Earth
Surface-to-air rocks! More incoming!|Sokka|Water|None|The Earth King|Earth
How should I know? I'm still voting we leave Ba Sing Se.|Toph|Earth|Earth|The Earth King|Earth
You invade my palace, lay waste to all my guards, break down my fancy door, and you expect me to trust you?|Kuei|Earth|None|The Earth King|Earth
See? We're friends, Your Earthiness.|Aang|Air|All|The Earth King|Earth
That happens to be a large birth mark. Thanks for showing everyone.|Long Feng|Earth|Earth|The Earth King|Earth
So this is what a train is like? I didn't realize it would be this ... public.|Kuei|Earth|None|The Earth King|Earth
Dai Li! Arrest Long Feng! I want him to stand trial for crimes against the Earth Kingdom.|Kuei|Earth|None|The Earth King|Earth
Looks like Long Feng is long gone! Ha! Ah, yeah, I've been waiting to use that one.|Sokka|Water|None|The Earth King|Earth
All this time, what I thought was a great metropolis was merely a city of fools. And that makes me the king fool.|Kuei|Earth|None|The Earth King|Earth
You should know that this is not a natural sickness, but that shouldn't stop you from enjoying tea.|Iroh|Fire|Fire|The Earth King|Earth
Your critical decision. What you did beneath that lake. It was in such conflict with your image of yourself that you are now at war within your own mind and body.|Iroh|Fire|Fire|The Earth King|Earth
You are going through a metamorphosis, my nephew. It will not be a pleasant experience, but when you come out of it, you will be the beautiful prince you were always meant to be.|Iroh|Fire|Fire|The Earth King|Earth
Aahh! Great. That's enough. Okay, we love each other. Seriously.|Sokka|Water|None|The Earth King|Earth
Everything is gonna work out perfectly. From now on and forever.|Sokka|Water|None|The Earth King|Earth
