Quote|Character|Nation|Bending|Episode|Book
It would be nice if your Avatar powers could be just a little more specific from time to time.|Sokka|Water|None|The Crossroads of Destiny|Earth
This coup must be swift and decisive. The Earth King and each of the five generals must be taken out simultaneously.|Azula|Fire|Fire|The Crossroads of Destiny|Earth
If I sense any disloyalty, any hesitation, any weakness at all, I will snuff it out.|Azula|Fire|Fire|The Crossroads of Destiny|Earth
Nice speech, Azula. It was pretty and poetic, but also scary in a good way.|Ty Lee|Fire|None|The Crossroads of Destiny|Earth
I thought you were going to make that one guy pee his pants.|Mai|Fire|None|The Crossroads of Destiny|Earth
Many times I imagined myself here, at the threshold of the palace.  But I always thought I would be here as a conqueror. Instead, we are the Earth King's personal guests, here to serve him tea. Destiny is a funny thing.|Iroh|Fire|Fire|The Crossroads of Destiny|Earth
Have you met the Dai Li? They're earthbenders, but they have a killer instinct that's so firebender. I just love it.|Azula|Fire|Fire|The Crossroads of Destiny|Earth
You're so dramatic. What? Are you going to challenge me to an Agni Kai?|Azula|Fire|Fire|The Crossroads of Destiny|Earth
I met him in the woods once and knocked him down. Then he gave me some tea and some very good advice.|Toph|Earth|Earth|The Crossroads of Destiny|Earth
Then we'll work together to fight Azula, and save Katara and Zuko.|Aang|Air|All|The Crossroads of Destiny|Earth
You're a terrible person! You know that? Always following us! Hunting the Avatar! Trying to capture the world's last hope for peace! But what do you care? You're the Fire Lord's son. Spreading war and violence and hatred is in your blood!|Katara|Water|Water|The Crossroads of Destiny|Earth
We should split up. Aang, you go with Iroh to look for Katara and the angry jerk, no offense.|Sokka|Water|None|The Crossroads of Destiny|Earth
Toph thinks you give pretty good advice, and great tea!|Aang|Air|All|The Crossroads of Destiny|Earth
Perfection and power are overrated. I think you were very wise to choose happiness and love.|Iroh|Fire|Fire|The Crossroads of Destiny|Earth
Sometimes, life is like this dark tunnel. You can't always see the light at the end of the tunnel, but if you just keep moving, you will come to a better place.|Iroh|Fire|Fire|The Crossroads of Destiny|Earth
What are you in time for, cutie?|Ty Lee|Fire|None|The Crossroads of Destiny|Earth
Uh, I'm kinda involved with Suki.|Sokka|Water|None|The Crossroads of Destiny|Earth
Oooh, it's like we're dancing together!|Ty Lee|Fire|None|The Crossroads of Destiny|Earth
Now comes the part where I double cross you. Dai Li, arrest the Fire Nation princess!|Long Feng|Earth|Earth|The Crossroads of Destiny|Earth
I can see your whole history in your eyes. You were born with nothing, so you've had to struggle, and connive, and claw your way to power. But true power, the divine right to rule, is something you're born with.|Azula|Fire|Fire|The Crossroads of Destiny|Earth
You've beaten me at my own game.|Long Feng|Earth|None|The Crossroads of Destiny|Earth
Don't flatter yourself! You were never even a player.|Azula|Fire|Fire|The Crossroads of Destiny|Earth
I used to think this scar marked me. The mark of the banished prince, cursed to chase the Avatar forever. But lately, I've realized I'm free to determine my own destiny, even if I'll never be free of my mark.|Zuko|Fire|Fire|The Crossroads of Destiny|Earth
You're not the man you used to be, Zuko. You are stronger and wiser and freer than you have ever been. And now you have come to the crossroads of your destiny. It's time for you to choose. It's time for you to choose good.|Iroh|Fire|Fire|The Crossroads of Destiny|Earth
I need you, Zuko. I've plotted every move of this day, this glorious day in Fire Nation history, and the only way we win is together. At the end of this day, you will have your honor back. You will have Father's love. You will have everything you want.|Azula|Fire|Fire|The Crossroads of Destiny|Earth
Zuko, I am begging you. Look into your heart and see what it is that you truly want.|Iroh|Fire|Fire|The Crossroads of Destiny|Earth
Come on, it's easy. You just walk on your front paws instead of your rear ones.|Ty Lee|Fire|None|The Crossroads of Destiny|Earth
I betrayed Uncle.|Zuko|Fire|Fire|The Crossroads of Destiny|Earth
The Earth Kingdom ... has fallen.|Kuei|Earth|None|The Crossroads of Destiny|Earth
