Quote|Character|Nation|Bending|Episode|Book
Aang, good to see you back with the living, buddy!|Sokka|Water|None|The Awakening|Fire
I've got a lot on my mind. It's been so long, over three years since I was home. I wonder what's changed. I wonder how I've changed.|Zuko|Fire|Fire|The Awakening|Fire
I just asked if you were cold, I didn't ask for your whole life story.|Mai|Fire|None|The Awakening|Fire
I went down! I didn't just get hurt, did I? It was worse than that. I was gone! But you brought me back.|Aang|Air|All|The Awakening|Fire
So we're planning a smaller invasion. Just a ragtag team of our friends and allies from around the Earth Kingdom. We already ran into Pipsqueak and The Duke.|Sokka|Water|None|The Awakening|Fire
Yep, the whole world thinks you're dead! Isn't that great?|Sokka|Water|None|The Awakening|Fire
Mai has been in a strangely good mood lately.|Azula|Fire|Fire|The Awakening|Fire
Load the Toph!|Toph|Earth|Earth|The Awakening|Fire
The universe just loves proving me wrong, doesn't it?|Sokka|Water|None|The Awakening|Fire
I need to redeem myself. I need my honor back.|Aang|Air|All|The Awakening|Fire
You've been away for a long time. I see the weight of your travels has changed you. You have redeemed yourself, my son. Welcome home.|Ozai|Fire|Fire|The Awakening|Fire
I understand why you left. I really do, and I know that you had to go, so why do I still feel this way? I'm so sad and angry and hurt!|Katara|Water|Water|The Awakening|Fire
I love you more than anything. You and your brother are my entire world. I thought about you every day when I was gone and every night when I went to sleep, I would lie awake missing you so much it would ache.|Hakoda|Water|None|The Awakening|Fire
If anyone is to blame for the state of the world, it is me. I should have seen this war coming and prevented it. You inherited my problems and my mistakes. But I believe you are destined to redeem me and save the world.|Roku|Fire|All|The Awakening|Fire
You're right. I won't give up.|Aang|Air|All|The Awakening|Fire
