Quote|Character|Nation|Bending|Episode|Book
Great job with the cloud camo, but next time, let's disguise ourselves as the kind of cloud that knows how to keep its mouth shut.|Sokka|Water|None|The Headband|Fire
Hey, we're in enemy territory. Those are enemy birds.|Sokka|Water|None|The Headband|Fire
Sokka, we don't need to become cave people. What we need is some new clothes.|Katara|Water|Water|The Headband|Fire
Plus, they have real food out there. Does anyone want to sit in the dirt and eat cave hoppers?|Toph|Earth|Earth|The Headband|Fire
Looks like we got outvoted, sport. Let's get some new clothes.|Sokka|Water|None|The Headband|Fire
I used to visit my friend Kuzon here a hundred years ago. So, everyone just follow my lead and stay cool. Or, as they say in the Fire Nation, 'stay flamin'.|Aang|Air|All|The Headband|Fire
Greetings, my good hotman.|Aang|Air|All|The Headband|Fire
Come on, Aang, everyone here eats meat. Even the meat.|Sokka|Water|None|The Headband|Fire
Very well. What is your name? Or should we just call you 'Mannerless Colony Slob'?|Kwan|Fire|None|The Headband|Fire
Aang, I'm trying to be mature and not immediately shoot down your idea, but it sounds ... really terrible.|Sokka|Water|None|The Headband|Fire
Flamey-O, Hotman!|Aang|Air|All|The Headband|Fire
I know, I'm a terrible tsungi hornist.|Aang|Air|All|The Headband|Fire
Firebenders ... Fire Lord ... wah, bah, blah, blah.|Aang|Air|All|The Headband|Fire
Is that a trick question? The Air Nomads didn't have a formal military. Sozin defeated them by ambush.|Aang|Air|All|The Headband|Fire
Don't you worry, Mr. Headmaster. I'll straighten this boy out somethin' fierce! Young man, as soon as we get home you're gonna get the punishment of a lifetime!|Sokka|Water|None|The Headband|Fire
You're so beautiful when you hate the world.|Zuko|Fire|Fire|The Headband|Fire
What could you possibly do for a country of depraved little fire monsters?|Sokka|Water|None|The Headband|Fire
Don't think of it as a dance party, but as a cultural event celebrating the art of fancy footwork!|Aang|Air|All|The Headband|Fire
Oh boy. Listen guys, dancing isn't something you think about. It's a form of self-expression that no one can ever take away from you.|Aang|Air|All|The Headband|Fire
Who knew Twinkle Toes could dance?|Toph|Earth|Earth|The Headband|Fire
Don't worry about them. It's just you and me right now.|Aang|Air|All|The Headband|Fire
We're safe Sokka, you can take off the mustache, now.|Katara|Water|Water|The Headband|Fire
