Quote|Character|Nation|Bending|Episode|Book
Well that explains why I can't catch a fish around here, because normally my fishing skills are off the hook! Get it? Like a fishing hook?|Sokka|Water|None|The Painted Lady|Fire
Hmmm ... It's doable. But that means only two potty breaks today.|Sokka|Water|None|The Painted Lady|Fire
Now you look just like a little hill with horns! Bye, buddy!|Aang|Air|All|The Painted Lady|Fire
These people are starving! But you'd turn your back on them? How can you be so cold and heartless?|Katara|Water|Water|The Painted Lady|Fire
Finagle away, oh schedule master.|Toph|Earth|Earth|The Painted Lady|Fire
I got it, how's this from now on, we'll take food breaks and potty breaks at the same time.|Sokka|Water|None|The Painted Lady|Fire
And I'm concerned because my big, furry friend doesn't feel well.|Sokka|Water|None|The Painted Lady|Fire
I know Hei Bai! We're close personal friends!|Aang|Air|All|The Painted Lady|Fire
You know, you're really pretty, for a spirit. I don't meet too many spirits, but the ones I do meet, not very attractive.|Aang|Air|All|The Painted Lady|Fire
You wanna destroy this factory?|Aang|Air|All|The Painted Lady|Fire
I was joking! I also said to use spirit magic and made funny noises!|Sokka|Water|None|The Painted Lady|Fire
No, I will never, ever turn my back on people who need me!|Katara|Water|Water|The Painted Lady|Fire
You can't wait around for someone to help you. You have to help yourself.|Katara|Water|Water|The Painted Lady|Fire
