Quote|Character|Nation|Bending|Episode|Book
So what, I'm just a lemur sitter?|Sokka|Water|None|Sokka's Master|Fire
These people have no idea how close they were to getting toasted last night.|Aang|Air|All|Sokka's Master|Fire
Yeah, the worst thing about being in disguise is that we don't get the hero worship anymore. I miss the love.|Toph|Earth|Earth|Sokka's Master|Fire
What's your problem? You haven't even touched your smoked sea slug.|Katara|Water|Water|Sokka's Master|Fire
It's just, all you guys can do this awesome bending stuff like putting out forest fires, and flying around and making other stuff fly around. I can't fly around, okay? I can't do anything.|Sokka|Water|None|Sokka's Master|Fire
I mean, look at Katara's hair, right? What's up with that?|Aang|Air|All|Sokka's Master|Fire
The first thing you must learn is that your weapon is an extension of yourself. You must think of it as another part of your own body.|Piandao|Fire|None|Sokka's Master|Fire
Well, more like an extra-long, really sharp arm.|Piandao|Fire|None|Sokka's Master|Fire
The sword is a simple tool, but in the hands of a master it becomes the most versatile of weapons, and just as the imagination is limitless, so too are the possibilities of the sword.|Piandao|Fire|None|Sokka's Master|Fire
I'm tapped out. I already picked my toes, twice.|Toph|Earth|Earth|Sokka's Master|Fire
I-It's so hot, it's so hot ... Momo is shedding like Appa. Huh, huh?|Katara|Water|Water|Sokka's Master|Fire
The warrior practices a variety of arts to keep his mind sharp and fluid.|Piandao|Fire|None|Sokka's Master|Fire
When you write your name, you stamp the paper with your identity. You must learn to use your sword to stamp your identity on a battlefield.|Piandao|Fire|None|Sokka's Master|Fire
Remember, you cannot take back a stroke of the brush, or a stroke of the sword.|Piandao|Fire|None|Sokka's Master|Fire
Landscape painting teaches a warrior to hold the lay of the land in his mind.|Piandao|Fire|None|Sokka's Master|Fire
Rock gardening teaches the warrior to manipulate his surroundings and use them to his advantage.|Piandao|Fire|None|Sokka's Master|Fire
You noodle-brains don't know what you're doing. I miss Sokka.|Toph|Earth|Earth|Sokka's Master|Fire
Ooh, I got one: if you miss him so much, why don't you marry him?|Katara|Water|Water|Sokka's Master|Fire
Choosing the correct material is the most important step in crafting a sword. You must trust your steel with your life.|Piandao|Fire|None|Sokka's Master|Fire
You told me you didn't know if you were worthy, but I believe that you are more worthy than any man I have ever trained.|Piandao|Fire|None|Sokka's Master|Fire
I think I'm a little old to be fighting the Avatar.|Piandao|Fire|None|Sokka's Master|Fire
The way of the sword doesn't belong to any one nation.|Piandao|Fire|None|Sokka's Master|Fire
You know, I don't think there's such a thing as 'space earth'. If it's from space, then it's not really 'earth'.|Katara|Water|Water|Sokka's Master|Fire
