Quote|Character|Nation|Bending|Episode|Book
It's never too early for a sitting with the court painter, Zuko. Make sure he gets your good side.|Azula|Fire|Fire|The Avatar and The Fire Lord|Fire
Love is hard when you are young.|Roku|Fire|All|The Avatar and The Fire Lord|Fire
Do they have bathrooms in the Spirit World?|Katara|Water|Water|The Avatar and The Fire Lord|Fire
Some friendships are so strong, they can even transcend lifetimes.|Roku|Fire|All|The Avatar and The Fire Lord|Fire
When love is real, it finds a way. And being the Avatar doesn't hurt your chances with the ladies, either.|Roku|Fire|All|The Avatar and The Fire Lord|Fire
I'm sparing you, Sozin. I'm letting you go in the name of our past friendship. But I warn you. Even a single step out of line will result in your permanent end.|Roku|Fire|All|The Avatar and The Fire Lord|Fire
Because understanding the struggle between your two great-grandfathers can help you better understand the battle within yourself. Evil and good are always at war inside you, Zuko. It is your nature, your legacy.|Iroh|Fire|Fire|The Avatar and The Fire Lord|Fire
Born in you, along with all the strife, is the power to restore balance to the world.|Iroh|Fire|Fire|The Avatar and The Fire Lord|Fire
Roku was just as much Fire Nation as Sozin was, right? If anything, their story proves anyone's capable of great good and great evil. Everyone, even the Fire Lord and the Fire Nation have to be treated like they're worth giving a chance.|Aang|Air|All|The Avatar and The Fire Lord|Fire
Do you really think friendships can last more than one lifetime?|Toph|Earth|Earth|The Avatar and The Fire Lord|Fire
