Quote|Character|Nation|Bending|Episode|Book
Sokka, sneak attacks don't work if you yell it out loud.|Aang|Air|All|The Runaway|Fire
I'll give you a mud pie!|Katara|Water|Water|The Runaway|Fire
I gotta say, I like the idea of not talking to you.|Toph|Earth|Earth|The Runaway|Fire
Hey! I only cheated because he was cheating! I cheated a cheater. What's wrong with that?|Toph|Earth|Earth|The Runaway|Fire
Could you for once stop being such a sourpuss and just lighten up?|Toph|Earth|Earth|The Runaway|Fire
Speaking of that 'third-eyed freak', I think I've come up with a name for him. What do you think of 'Sparky-Sparky-Boom Man'?|Sokka|Water|None|The Runaway|Fire
Hawky, welcome to Team Avatar. My name's Sokka, and I'm your new owner, and as such I should warn you that there's already a lemur in our group, so I don't wanna see any fighting.|Sokka|Water|None|The Runaway|Fire
Hawky! Make nice! Bad Hawky!|Sokka|Water|None|The Runaway|Fire
I know this is from you, Sokka! Toph can't write!|Katara|Water|Water|The Runaway|Fire
I can't believe we forgot Toph can't write.|Aang|Air|All|The Runaway|Fire
When our mom died, that was the hardest time in my life. Our family was a mess, but Katara? She had so much strength. She stepped up and took on so much responsibility. She helped fill the void that was left by our mom.|Sokka|Water|None|The Runaway|Fire
I'm gonna tell you something crazy. I never told anyone this before, but honestly? I'm not sure I can remember what my mother looked like. It really seems like my whole life, Katara's been the one looking out for me. She's always been the one that's there. And now, when I try to remember my mom, Katara's is the only face I can picture.|Sokka|Water|None|The Runaway|Fire
The truth is sometimes Katara does act motherly, but that's not always a bad thing. She's compassionate and kind, and she actually cares about me. You know, the real me. That's more than my own mom. Don't ever tell her I said any of this!|Toph|Earth|Earth|The Runaway|Fire
Actually I wasn't going to apologize. I was gonna say ... I wanna pull a scam with you.|Katara|Water|Water|The Runaway|Fire
Katara, you are fun. If nothing else, you're at least fun to argue with.|Toph|Earth|Earth|The Runaway|Fire
Katara! You're a genius! A sweaty, stinky genius!|Toph|Earth|Earth|The Runaway|Fire
This guy is too good! He shoots fire from his brain!|Sokka|Water|None|The Runaway|Fire
Hey, I got it! The perfect name for that guy: 'Combustion Man!'|Sokka|Water|None|The Runaway|Fire
