Quote|Character|Nation|Bending|Episode|Book
Water Tribe slumber parties must stink.|Toph|Earth|Earth|The Puppetmaster|Fire
Wait! Guys, did you hear that? I hear people under the mountain. And they're screaming.|Toph|Earth|Earth|The Puppetmaster|Fire
You would have me use my feminine charms to take advantage of that poor man?|Hama|Water|Water|The Puppetmaster|Fire
And then you can sew up this little mystery lickety-split, Avatar style!|Sokka|Water|None|The Puppetmaster|Fire
I never thought I'd meet another Southern waterbender. I'd like to teach you what I know so you can carry on the Southern tradition when I'm gone.|Hama|Water|Water|The Puppetmaster|Fire
I've even used my own sweat for waterbending.|Katara|Water|Water|The Puppetmaster|Fire
That's very resourceful, Katara. You're thinking like a true master. But did you know you could even pull water out of thin air?|Hama|Water|Water|The Puppetmaster|Fire
The Moon Spirit is a gentle, loving lady. She rules the sky with compassion and ... lunar goodness!|Sokka|Water|None|The Puppetmaster|Fire
They're just flowers. When you're a waterbender in a strange land, you do what you must to survive. Tonight I'll teach you the ultimate technique of waterbending. It can only be done during the full moon, when your bending is at its peak.|Hama|Water|Water|The Puppetmaster|Fire
Bloodbending. Controlling the water in another body, enforcing your own will over theirs.|Hama|Water|Water|The Puppetmaster|Fire
The choice is not yours. The power exists. And it's your duty to use the gifts you've been given to win this war. Katara, they tried to wipe us out, our entire culture, your mother!|Hama|Water|Water|The Puppetmaster|Fire
We have to fight these people whenever we can, wherever they are, with any means necessary!|Hama|Water|Water|The Puppetmaster|Fire
My work is done. Congratulations, Katara. You're a bloodbender.|Hama|Water|Water|The Puppetmaster|Fire
