Quote|Character|Nation|Bending|Episode|Book
Really? How do you plan on doing that when you're not even wearing pants?|Ozai|Fire|Fire|Nightmares and Daydreams|Fire
It was just a dream, Momo. I still have my pants.|Aang|Air|All|Nightmares and Daydreams|Fire
Your days of tyranny are over, Fire Lord. I'm bringing you down!|Aang|Air|All|Nightmares and Daydreams|Fire
So it seems, but are you prepared for your ... mathematics test?|Ozai|Fire|Fire|Nightmares and Daydreams|Fire
Math test? Oh no! I forgot all about the math test!|Aang|Air|All|Nightmares and Daydreams|Fire
But I forgot my pants and my math test.|Aang|Air|All|Nightmares and Daydreams|Fire
Wake up, Aang. Wake up, sleepy head! Rise and shine! You overslept. You missed the invasion.|Ozai|Fire|Fire|Nightmares and Daydreams|Fire
Sokka, you've gotta get up drill your rock-climbing exercises.|Aang|Air|All|Nightmares and Daydreams|Fire
Stupid Avatar! Stupid cliff! Stupid dream! I can climb fast!|Sokka|Water|None|Nightmares and Daydreams|Fire
In my dream, we were right in the middle of the invasion, and you had to stop to use the bathroom! We died because of your tiny bladder.|Aang|Air|All|Nightmares and Daydreams|Fire
It's like every time I think about how stressed I am, I just end up more stressed. I'm like a big growing snowball of nerves.|Aang|Air|All|Nightmares and Daydreams|Fire
Want to try screaming into this pillow?|Sokka|Water|None|Nightmares and Daydreams|Fire
You know what will make you feel better? Ordering some servants around. I might be hungry for a whole tray of fruit tarts. And maybe a little palanquin ride around town. Double time.|Mai|Fire|None|Nightmares and Daydreams|Fire
I see everything so clearly now. What really matters. Why I'm really doing this. I'm doing it to save the world. But more than that. I'm doing it for the people I love. I'm doing it for you, Katara.|Aang|Air|All|Nightmares and Daydreams|Fire
I'm saying, I love you!|Aang|Air|All|Nightmares and Daydreams|Fire
Baby, you're my forever girl.|Aang|Air|All|Nightmares and Daydreams|Fire
Hey! I'm tryin' build Appa some armor here so he doesn't have to go into the invasion naked. He's your bison.|Sokka|Water|None|Nightmares and Daydreams|Fire
Boy, you are really starting to lose it, kid.|Momo|Air|None|Nightmares and Daydreams|Fire
No, but I said something. You, my friend, are just a few plums short of a fruit pie.|Momo|Air|None|Nightmares and Daydreams|Fire
No! I am sick of this guy always mouthing me and telling me what to do!|Appa|Air|Air|Nightmares and Daydreams|Fire
Chakras, chakras, everybody loves chakras. Chakras, chakras, chakras sandwich tastes good. Yum!|Guru Pathik|None|None|Nightmares and Daydreams|Fire
Oh, look. Another hallucination. An imaginary bed made out of clouds.|Aang|Air|All|Nightmares and Daydreams|Fire
No, Fire Lord Ozai. You're not wearing any pants.|Aang|Air|All|Nightmares and Daydreams|Fire
No! My royal parts are showing.|Aang|Air|All|Nightmares and Daydreams|Fire
