Quote|Character|Nation|Bending|Episode|Book
Top of the morning, Momo!|Aang|Air|All|The Day of Black Sun, Part 1: The Invasion|Fire
You know what I just heard? Blah, blah, spiritual mumbo jumbo blah, blah, something about space.|Toph|Earth|Earth|The Day of Black Sun, Part 1: The Invasion|Fire
Is it just me, or are those fellas a little loose in the leaf-hat?|Hakoda|Water|None|The Day of Black Sun, Part 1: The Invasion|Fire
Pants are an illusion, and so is death.|Huu|Water|Water|The Day of Black Sun, Part 1: The Invasion|Fire
Negatory. The Boulder and The Hippo no longer fight for others' entertainment. Now, we fight for our kingdom!|The Boulder|Earth|Earth|The Day of Black Sun, Part 1: The Invasion|Fire
Yes, but unfortunately the incendiary capabilities of peanut sauce prove to be a failure.|Mechanist|Earth|None|The Day of Black Sun, Part 1: The Invasion|Fire
Sokka, that speech wasn't your moment of truth. That was just public speaking, and nobody's really good at that.|Aang|Air|All|The Day of Black Sun, Part 1: The Invasion|Fire
Because I already failed the world once at Ba Sing Se. I won't let myself fail again.|Aang|Air|All|The Day of Black Sun, Part 1: The Invasion|Fire
Yeah, congratulations, Sokka. You managed to invent a worse way of travel than flying.|Toph|Earth|Earth|The Day of Black Sun, Part 1: The Invasion|Fire
I hope you kick some serious Fire Lord butt, Twinkle Toes.|Toph|Earth|Earth|The Day of Black Sun, Part 1: The Invasion|Fire
We've been through so many things together, and I've seen you grow up so much. You're not that little goofy kid I found in the iceberg anymore. I guess what I'm trying to say is, I'm really proud of you.|Katara|Water|Water|The Day of Black Sun, Part 1: The Invasion|Fire
Where in tarnation is Huu?|Tho|Water|Water|The Day of Black Sun, Part 1: The Invasion|Fire
No offense Sokka, but you're not exactly Mr. Healing Hands.|Katara|Water|Water|The Day of Black Sun, Part 1: The Invasion|Fire
I still think you're crazy, but I'm proud of you too.|Katara|Water|Water|The Day of Black Sun, Part 1: The Invasion|Fire
