Quote|Character|Nation|Bending|Episode|Book
You mean getting thoroughly spanked by the Fire Nation or having to walk all the way to the Western Air Temple?|Sokka|Water|None|The Western Air Temple|Fire
Uhhh ... I think your feet need their eyes checked.|Katara|Water|Water|The Western Air Temple|Fire
Well, if you ask me, the new plan is the old plan! You just need to master all four elements and confront the Fire Lord before the comet comes.|Sokka|Water|None|The Western Air Temple|Fire
Hello ... Zuko here|Zuko|Fire|Fire|The Western Air Temple|Fire
Uhhh ... so, the thing is I have a lot of firebending experience, and I'm considered to be pretty good at it.|Zuko|Fire|Fire|The Western Air Temple|Fire
I mean, I thought I was good before, but I realize I was bad|Zuko|Fire|Fire|The Western Air Temple|Fire
What would Uncle do? Zuko, you have to look within yourself to save yourself from your other self. Only then will your true self, reveal itself.|Zuko|Fire|Fire|The Western Air Temple|Fire
What would Azula do? Listen, Avatar, I can join your group, or I can do something unspeakably horrible to you and your friends.|Zuko|Fire|Fire|The Western Air Temple|Fire
Right. Well, uhhh ... anyway ... what I wanted to tell you about is that I've changed, and I, uhhh, I'm good now, and well I think I should join your group, oh, and I can teach firebending to you.|Zuko|Fire|Fire|The Western Air Temple|Fire
I've done some good things! I mean, I could have stolen your bison in Ba Sing Se, but I set him free. That's something!|Zuko|Fire|Fire|The Western Air Temple|Fire
If you won't accept me as a friend, then maybe you'll take me as a prisoner.|Zuko|Fire|Fire|The Western Air Temple|Fire
And you made us suck on frozen frogs? How could I forget? I had a wart on the flap that hangs down from the back of my throat for a month!|Sokka|Water|None|The Western Air Temple|Fire
Oh, hooray! In a lifetime of evil, at least he didn't add animal cruelty to the list.|Sokka|Water|None|The Western Air Temple|Fire
You're right, Toph! Let's go find him and give him a medal. The 'not as much of a jerk as you could have been' award!|Katara|Water|Water|The Western Air Temple|Fire
Ergh! I'm beginning to wonder who's really the blind one around here!|Toph|Earth|Earth|The Western Air Temple|Fire
Uggh! Why am I so bad at being good?|Zuko|Fire|Fire|The Western Air Temple|Fire
See? You trusted Zuko, and you got burned. Literally!|Sokka|Water|None|The Western Air Temple|Fire
Yeah, get him to come back and say he'll be our prisoner, then we'll jump him and really make him our prisoner. He'll never suspect it!|Sokka|Water|None|The Western Air Temple|Fire
Not being able to see with your feet stinks.|Toph|Earth|Earth|The Western Air Temple|Fire
I've been through a lot in the last few years, and it's been hard. But I'm realizing that I had to go through all those things to learn the truth. I thought I had lost my honor, and that somehow my father could return it to me. But I know now that no one can give you your honor. It's something you earn for yourself, by choosing to do what's right. All I want to do now is play my part in ending this war, and I know my destiny is to help you restore balance to the world.|Zuko|Fire|Fire|The Western Air Temple|Fire
Fire can be dangerous and wild, so as a firebender, I need to be more careful and control my bending, so I don't hurt people unintentionally.|Zuko|Fire|Fire|The Western Air Temple|Fire
I think you are supposed to be my firebending teacher. When I first tried to learn firebending, I burned Katara, and after that, I never wanted to firebend again. But now I know you understand how easy it is to hurt the people you love. I'd like you to teach me.|Aang|Air|All|The Western Air Temple|Fire
So, here you go, home sweet home, I guess, you know, for now. Unpack? Lunch, soon? Uhhh ... welcome aboard?|Sokka|Water|None|The Western Air Temple|Fire
You know Prince Zuko, destiny is a funny thing. You never know how things are going to work out. But if you keep an open mind, and an open heart, I promise you will find your own destiny someday.|Iroh|Fire|Fire|The Western Air Temple|Fire
So let me tell you something, right now. You make one step backward, one slip-up, give me one reason to think you might hurt Aang, and you won't have to worry about your destiny anymore. Because I'll make sure your destiny ends ... right then and there. Permanently.|Katara|Water|Water|The Western Air Temple|Fire
