Quote|Character|Nation|Bending|Episode|Book
I'm never happy.|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
Look, I have to do this. The invasion plan was my idea, it was my decision to stay when things were going wrong. It's my mistake, and it's my job to fix it. I have to regain my honor.|Sokka|Water|None|The Boiling Rock, Part 1|Fire
You need to regain your honor? Believe me, I get it. I'm going with you.|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
How are you going to get there? On Appa? Last time I checked, prisons don't have bison daycares.|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
'Need meat. Gone fishing. Back in a few days. Sokka and Zuko.' One more thing. 'Aang, practice your firebending while I'm gone. Do twenty sets of fire fists and ten hot squats every time you hear a badgerfrog croak. Zuko.'|Katara|Water|Water|The Boiling Rock, Part 1|Fire
Nobody else has homework. One hot squat, two hot squat, three hot squat, four hot squat ...|Aang|Air|All|The Boiling Rock, Part 1|Fire
I think your uncle would be proud of you. Leaving your home to come help us? That's hard.|Sokka|Water|None|The Boiling Rock, Part 1|Fire
My first girlfriend turned into the moon.|Sokka|Water|None|The Boiling Rock, Part 1|Fire
That's rough, buddy.|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
Prisoners! Am I right?|Sokka|Water|None|The Boiling Rock, Part 1|Fire
But what if there's an incident? If I'm not prepared, someone could strike me on the head.|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
Ah, what would Uncle say? Sometimes, clouds have two sides, a dark and light, and a silver lining in between. It's like a silver sandwich! So ... when life seems hard ... take a bite out of the silver sandwich!|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
That's the spirit! I can't believe that worked. I didn't even know what I was saying.|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
I'm so glad to see you Sokka. I knew you'd come.|Suki|Earth|None|The Boiling Rock, Part 1|Fire
Yeah, the only thing we're hatching is ... an egg?|Sokka|Water|None|The Boiling Rock, Part 1|Fire
You have to try every time. You can't quit because you're afraid you might fail.|Zuko|Fire|Fire|The Boiling Rock, Part 1|Fire
