Quote|Character|Nation|Bending|Episode|Book
You saved your uncle's sweaty sandal? Ugh!|Sokka|Water|None|Sozin's Comet, Part 2: The Old Masters|Fire
Everyone expects me to take the Fire Lord's life, but I just don't know if I can do that.|Aang|Air|All|Sozin's Comet, Part 2: The Old Masters|Fire
In my life, I tried to be disciplined and show restraint, but it backfired when Fire Lord Sozin took advantage of my restraint and mercy. If I had been more decisive and acted sooner, I could have stopped Sozin and stopped the war before it started. I offer you this wisdom, Aang: You must be decisive.|Roku|Fire|All|Sozin's Comet, Part 2: The Old Masters|Fire
How about Grand-Pakku?|Sokka|Water|None|Sozin's Comet, Part 2: The Old Masters|Fire
All old people know each other. Don't you know that?|Bumi|Earth|Earth|Sozin's Comet, Part 2: The Old Masters|Fire
We're all part of the same ancient secret society. A group that transcends the divisions of the four nations.|Piandao|Fire|None|Sozin's Comet, Part 2: The Old Masters|Fire
Personally, I don't really see the difference, but I assure you, I would have done whatever it took to stop Chin. I offer you this wisdom, Aang: Only justice will bring peace.|Kyoshi|Earth|All|Sozin's Comet, Part 2: The Old Masters|Fire
I knew I shouldn't have asked Kyoshi.|Aang|Air|All|Sozin's Comet, Part 2: The Old Masters|Fire
Aang, you must actively shape your own destiny and the destiny of the world.|Kuruk|Water|All|Sozin's Comet, Part 2: The Old Masters|Fire
Well, here we are. Welcome to Old People Camp.|Bumi|Earth|Earth|Sozin's Comet, Part 2: The Old Masters|Fire
No, I'm not okay. My uncle hates me, I know it. He loved and supported me in every way he could, and I still turned against him. How can I even face him?|Zuko|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
Avatar Aang, I know that you're a gentle spirit, and the monks have taught you well, but this isn't about you. This is about the world.|Yangchen|Air|All|Sozin's Comet, Part 2: The Old Masters|Fire
Many great and wise Air Nomads have detached themselves and achieved spiritual enlightenment, but the Avatar can never do it. Because your sole duty is to the world. Here is my wisdom for you: Selfless duty calls you to sacrifice your own spiritual needs, and do whatever it takes to protect the world.|Yangchen|Air|All|Sozin's Comet, Part 2: The Old Masters|Fire
I guess I don't have a choice, Momo. I have to kill the Fire Lord.|Aang|Air|All|Sozin's Comet, Part 2: The Old Masters|Fire
I was never angry with you. I was sad because I was afraid you had lost your way.|Iroh|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
Uncle, you're the only person other than the Avatar who can possibly defeat the Father Lord.|Zuko|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
Even if I did defeat Ozai, and I don't know that I could, it would be the wrong way to end the war. History would see it as just more senseless violence, a brother killing a brother to grab power. The only way for this war to end peacefully is for the Avatar to defeat the Fire Lord.|Iroh|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
You've struggled; you've suffered, but you have always followed your own path. You restored your own honor, and only you can restore the honor of the Fire Nation.|Iroh|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
Sozin's Comet is arriving, and our destinies are upon us. Aang will face the Fire Lord. When I was a boy, I had a vision that I would one day take Ba Sing Se. Only now do I see that my destiny is to take it back from the Fire Nation, so the Earth Kingdom can be free again.|Iroh|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
Nothing runs faster over land or swims quicker than a giant eel hound.|Piandao|Fire|None|Sozin's Comet, Part 2: The Old Masters|Fire
After I re-conquer Ba Sing Se, I'm going to re-conquer my tea shop, and I'm going to play Pai Sho every day.|Iroh|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
Goodbye, everyone. Today, destiny is our friend. I know it.|Iroh|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
The true mind can weather all the lies and illusions without being lost. The true heart can tough the poison of hatred without being harmed. Since beginningless time, darkness thrives in the void but always yields to purifying light.|Lion Turtle|None|None|Sozin's Comet, Part 2: The Old Masters|Fire
It's time for this world to end in fire, and for a new world to be born from the ashes.|Ozai|Fire|Fire|Sozin's Comet, Part 2: The Old Masters|Fire
