Quote|Character|Nation|Bending|Episode|Book
I'm worried about Aang. What if he doesn't have the guts to take out my father? What if he loses?|Zuko|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
Yes, it is. So, please. Tell me why, on the most important day of my life, you've decided to leave a pit in my cherry?|Azula|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
What are you all looking at? I have two feet that need scrubbing. And make sure you get in between the toes. I won't have my first day as Fire Lord marred by poor foot hygiene.|Azula|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
It's weird to say, but the comet actually looks beautiful.|Suki|Earth|None|Sozin's Comet, Part 3: Into the Inferno|Fire
Five, to be precise, in which time an assassin could've snuck in, done away with me and been on his merry way!|Azula|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
That's a great idea! Let the blind girl steer the giant airship!|Toph|Earth|Earth|Sozin's Comet, Part 3: Into the Inferno|Fire
Attention, crew, this is your captain speaking. Everyone please report to the bomb bay immediately for hot cakes and sweet cream. We have a very special birthday to celebrate.|Sokka|Water|None|Sozin's Comet, Part 3: Into the Inferno|Fire
None of them could be trusted. Sooner or later, they all would have betrayed me. Just like Mai and Ty Lee did.|Azula|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
Ba Sing Se, the Order of the White Lotus is here.|Bumi|Earth|Earth|Sozin's Comet, Part 3: Into the Inferno|Fire
Don't pretend to act proud. I know what you really think of me. You think I'm a monster.|Azula|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
Well what choice do I have?! Trust is for fools. Fear is the only reliable way. Even you fear me.|Azula|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
After generations of Fire Lords failed to find you, now the universe delivers you to me as an act of providence.|Ozai|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
Go, Aang! Airbending slice!|Sokka|Water|None|Sozin's Comet, Part 3: Into the Inferno|Fire
Wait. You want to be Fire Lord? Fine. Let's settle this. Just you and me, brother. The showdown that was always meant to be. Agni Kai!|Azula|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
There's something off about her; I can't explain it but she's slipping. And this way, no one else has to get hurt.|Zuko|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
No lightning today? What's the matter?|Zuko|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
You're weak, just like the rest of your people! They did not deserve to exist in this world ... in my world! Prepare to join them. Prepare to die!|Ozai|Fire|Fire|Sozin's Comet, Part 3: Into the Inferno|Fire
