Quote|Character|Nation|Bending|Episode|Book
Have I ever mentioned how sweet it is that you invented metalbending?|Sokka|Water|None|Sozin's Comet, Part 4: Avatar Aang|Fire
I don't think boomerang's coming back, Toph. It looks like this is the end.|Sokka|Water|None|Sozin's Comet, Part 4: Avatar Aang|Fire
I'd really rather our family physician look after Little Zuzu if you don't mind. Zuzu, you don't look so good!|Azula|Fire|Fire|Sozin's Comet, Part 4: Avatar Aang|Fire
Fire Lord Ozai, you and your forefathers have devastated the balance of this world, and now you shall pay the ultimate price!|Aang|Air|All|Sozin's Comet, Part 4: Avatar Aang|Fire
To bend another's energy, your own spirit must be unbendable or you will be corrupted and destroyed.|Lion Turtle|None|None|Sozin's Comet, Part 4: Avatar Aang|Fire
I took away your firebending. You can't use it to hurt or threaten anyone else ever again.|Aang|Air|All|Sozin's Comet, Part 4: Avatar Aang|Fire
Well, look at you, buster. Now that your firebending's gone I guess we should call you the Loser Lord.|Sokka|Water|None|Sozin's Comet, Part 4: Avatar Aang|Fire
Oh, sorry. Didn't mean to offend you, Phoenix King of Getting His Butt Whooped.|Toph|Earth|Earth|Sozin's Comet, Part 4: Avatar Aang|Fire
Yeah! Or how about King of the ... Guys Who ... Don't Win?|Suki|Earth|None|Sozin's Comet, Part 4: Avatar Aang|Fire
My uncle pulled some strings. And it doesn't hurt when the new Fire Lord is your boyfriend.|Mai|Fire|None|Sozin's Comet, Part 4: Avatar Aang|Fire
I think it means I actually kind of like you. But don't ever break up with me again!|Mai|Fire|None|Sozin's Comet, Part 4: Avatar Aang|Fire
Yeah, the girls and I really bonded in prison. And after a few chi-blocking lessons, they said I could join their group. We're going to be best friends forever.|Ty Lee|Fire|None|Sozin's Comet, Part 4: Avatar Aang|Fire
I can't believe a year ago I was still frozen in a block of ice. The world's so different now.|Aang|Air|All|Sozin's Comet, Part 4: Avatar Aang|Fire
And it's gonna be even more different... when we build it together.|Zuko|Fire|Fire|Sozin's Comet, Part 4: Avatar Aang|Fire
I promised my uncle that I would restore the honor of the Fire Nation. And I will. The road ahead of us is challenging. A hundred years of fighting has left the world scarred and divided. But with the Avatar's help, we can get it back on the right path and begin a new era of love and peace.|Zuko|Fire|Fire|Sozin's Comet, Part 4: Avatar Aang|Fire
Banishing me was the best thing you could have done for my life. It put me on the right path. Perhaps your time in here could do the same for you.|Zuko|Fire|Fire|Sozin's Comet, Part 4: Avatar Aang|Fire
Zuko, stop moving! I'm trying to capture the moment. I wanted to do a painting, so we always remember the good times together.|Sokka|Water|None|Sozin's Comet, Part 4: Avatar Aang|Fire
That's very thoughtful of you, Sokka. Wait, why did you give me Momo's ears?|Katara|Water|Water|Sozin's Comet, Part 4: Avatar Aang|Fire
Hey, my belly's not that big anymore. I've really trimmed down.|Iroh|Fire|Fire|Sozin's Comet, Part 4: Avatar Aang|Fire
